Feature,34150,34151,34152,34153,34154,40727,40729
高度(mm),1433,1433,1427,1427,1427,1432,1432
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
零胎压继续行驶,●,●,●,●,●,●,●
陡坡缓降,-,-,-,-,-,-,-
防紫外线玻璃,●,●,●,●,●,●,●
长度(mm),4304,4304,4304,4304,4355,4419,4419
长*宽*高(mm),4304*1780*1433,4304*1780*1433,4304*1780*1427,4304*1780*1427,4355*1780*1427,4419*1796*1432,4419*1796*1432
铝合金轮圈,●,●,●,●,●,●,●
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
遮阳板化妆镜,●,●,●,●,●,●,●
遥控钥匙,●,●,●,●,●,●,●
道路救援呼叫,●,●,●,●,●,●,●
远程启动,-,-,-,-,-,-,-
远光灯,卤素,LED,LED,LED,LED,LED,LED
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯,卤素,LED,LED,LED,LED,LED,LED
运动风格座椅,-,-,●,●,●,-,-
运动外观套件,-,-,-,●,●,-,-
轴距(mm),2699,2699,2699,2699,2699,2729,2729
转向辅助灯,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-
车门数(个),5,5,5,5,5,5,5
车道偏离预警系统,-,○,○,○,○,○,-
车载空气净化器,-,-,-,-,-,-,-
车载电视,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-
车身结构_y,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车
车身结构_x,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●
车联网,-,-,-,-,-,-,-
车窗防夹手功能,●,●,●,●,●,●,●
车窗一键升降,全车,全车,全车,全车,全车,全车,全车
车型名称,奔驰A级(进口) 2018款 A 180,奔驰A级(进口) 2018款 A 200 动感型,奔驰A级(进口) 2018款 A 200 时尚型,奔驰A级(进口) 2018款 A 200 运动型,奔驰A级(进口) 2018款 A 260 运动型,奔驰A级(进口) 2019款 A 200 时尚型,奔驰A级(进口) 2019款 A 200 动感型
车内空气调节/花粉过滤,●,●,●,●,●,●,●
车内氛围灯,-,○,○,○,○,○,○
车内中控锁,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式
行车电脑显示屏,●,●,●,●,●,●,●
行程(mm),-,-,-,-,-,-,-
行李厢容积(L),341-1157,341-1157,341-1157,341-1157,341-1157,-,-
蓝牙/车载电话,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-
自适应巡航,-,-,-,-,-,○,-
自动驻车,●,●,●,●,●,●,●
自动泊车入位,-,●,●,●,●,●,●
自动头灯,●,●,●,●,●,●,●
膝部气囊,●,●,●,●,●,-,-
腰部支撑调节,-,-,●,●,●,●,-
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测装置,●,●,●,●,●,●,●
肩部支撑调节,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),-,-,-,-,-,-,-
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车
简称,7挡双离合,7挡双离合,7挡双离合,7挡双离合,7挡双离合,7挡双离合,7挡双离合
第二排靠背角度调节,-,-,-,-,-,-,-
第二排独立座椅,-,-,-,-,-,-,-
第二排座椅移动,-,-,-,-,-,-,-
第三排座椅,-,-,-,-,-,-,-
空调控制方式,手动●,手动●,手动●,手动●,自动●,自动●,自动●
空气悬架,-,-,-,-,-,-,-
皮质方向盘,-,●,●,●,●,●,●
疲劳驾驶提示,●,●,●,●,●,-,-
电磁感应悬架,-,-,-,-,-,-,-
电动座椅记忆,-,-,●,●,●,●,-
电动天窗,●,●,●,●,●,●,●
