,34253
车型名称,奔驰A级 2018款 A 200 L 高配
厂商指导价(元),0.00万
厂商,北京奔驰
级别,紧凑型车
能源类型,汽油
工信部纯电续驶里程(km),-
最大功率(kW)_x,120
最大扭矩(N·m)_x,-
发动机,1.3T 163马力 L4
变速箱,7挡双离合
长*宽*高(mm),4622*1796*1454
车身结构_x,4门5座三厢车
最高车速(km/h),-
官方0-100km/h加速(s),-
实测0-100km/h加速(s),-
实测100-0km/h制动(m),-
工信部综合油耗(L/100km),-
实测油耗(L/100km),-
长度(mm),4622
宽度(mm),1796
高度(mm),1454
轴距(mm),2789
前轮距(mm),-
后轮距(mm),-
最小离地间隙(mm),-
车身结构_y,三厢车
车门数(个),4
座位数(个),5
油箱容积(L),-
行李厢容积(L),-
整备质量(kg),-
发动机型号,-
排量(mL),1332
进气形式,涡轮增压
气缸排列形式,L
气缸数(个),4
每缸气门数(个),4
压缩比,-
配气机构,DOHC
缸径(mm),-
行程(mm),-
最大马力(Ps),163
最大功率(kW)_y,120
最大功率转速(rpm),-
最大扭矩(N·m)_y,-
最大扭矩转速(rpm),-
发动机特有技术,-
燃料形式,汽油
燃油标号,95号
供油方式,直喷
缸盖材料,铝合金
缸体材料,铝合金
环保标准,国V
挡位个数,7
变速箱类型,双离合变速箱(DCT)
简称,7挡双离合
驱动方式,前置前驱
前悬架类型,麦弗逊式独立悬架
后悬架类型,多连杆独立悬架
助力类型,电动助力
车体结构,承载式
前制动器类型,通风盘式
后制动器类型,盘式
驻车制动类型,电子驻车
前轮胎规格,225/45 R18
后轮胎规格,225/45 R18
备胎规格,无
