Feature,54673,54676,59662
高度(mm),1408,1408,1403
驾驶辅助影像,,,
驾驶模式切换,,,
驻车制动类型,电子驻车,电子驻车,电子驻车
驱动方式,前置四驱,前置四驱,前置四驱
面部识别,-,-,-
隐藏电动门把手,-,-,-
陡坡缓降,-,-,-
限滑差速器/差速锁,-,-,-
长度(mm),4445,4445,4439
长*宽*高(mm),4445*1850*1408,4445*1850*1408,4439*1796*1403
钥匙类型,,,
配气机构,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●
道路交通标识识别,-,-,-
远程启动功能,,,
远光灯光源,,,
进气形式,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,
运动风格座椅,●,●,-
运动外观套件,●,●,●
辅助驾驶等级,,,
轴距(mm),2729,2729,2729
轮圈材质,,,
转向辅助灯,-,-,-
转向头灯,●,●,●
车顶行李架,-,-,-
车门数(个),5,5,5
车门开启方式,平开门,平开门,平开门
车道居中保持,-,-,○
车道偏离预警系统,●,●,○
车道保持辅助系统,●,●,○
车载空气净化器,-,-,-
车载智能系统,,,
车载冰箱,-,-,-
车载CD/DVD,-,-,-
车身结构_y,两厢车,两厢车,两厢车
车身结构_x,5门5座两厢车,5门5座两厢车,5门5座两厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●
车联网,●,●,●
车窗防夹手功能,●,●,●
车窗一键升降功能,,,
车型名称,奔驰A级AMG(进口) 2022款 AMG A 45 4MATIC+,奔驰A级AMG(进口) 2022款 AMG A 45 S 4MATIC+,奔驰A级AMG(进口) 2022款 改款 AMG A 35 4MATIC
车前雾灯,-,-,-
车内香氛装置,-,-,-
车内环境氛围灯,,,
车内化妆镜,,,
车内中控锁,●,●,●
车内PM2.5过滤装置,-,-,-
车体结构,承载式,承载式,承载式
负离子发生器,-,-,-
语音识别控制系统,,,
触摸式阅读灯,-,-,-
被动行人保护,●,●,●
行车电脑显示屏幕,,,
行李厢12V电源接口,-,-,-
蓝牙/车载电话,●,●,●
自适应远近光,●,●,●
自动驻车,●,●,●
自动泊车入位,●,●,●
自动头灯,●,●,●
膝部气囊,-,-,-
能源类型,汽油,汽油,汽油
胎压监测功能,,,
缺气保用轮胎,-,-,-
缸盖材料,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金
级别,紧凑型车,紧凑型车,紧凑型车
简称,8挡湿式双离合,8挡湿式双离合,7挡湿式双离合
第二排独立座椅,-,-,-
第二排座椅调节,-,-,-
第二排座椅电动调节,-,-,-
第二排座椅功能,-,-,-
空调温度控制方式,,,
空气悬架,-,-,-
离去角(°),17,15.5,16.5
疲劳驾驶提示,●,●,●
电磁感应悬架,-,-,-
电动扰流板,-,-,-
电动座椅记忆功能,,,
电动吸合车门,-,-,-
电动后备厢位置记忆,-,-,-
电动后备厢,-,-,-
环保标准_y,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●
燃油标号,95号,95号,95号
燃料形式,汽油,汽油,汽油
灯光特色功能,,,
温度分区控制,-,-,-
液晶仪表尺寸,,,
油箱容积(L),-,-,-
气缸数(个),4,4,4
气缸排列形式,L,L,L
每缸气门数(个),4,4,4
最高车速(km/h),250,250,250
最大马力(Ps),387,421,306
最大满载质量(kg),2130,2130,2070
最大扭矩转速(rpm),4750-5000,5000-5250,3000-4000
最大扭矩(N·m)_y,480,500,400
最大扭矩(N·m)_x,480,500,400
最大功率转速(rpm),6500,6750,5800
最大功率(kW)_y,285,310,225
最大功率(kW)_x,285,310,225
最大净功率(kW),285,310,225
无钥匙进入功能,,,
无钥匙启动系统,●,●,●
方向盘记忆,-,-,-
方向盘材质,,,
方向盘换挡,●,●,●
方向盘加热,-,-,-
方向盘位置调节,,,
整车质保,三年不限公里,三年不限公里,三年不限公里
整备质量(kg),1657,1677,1605
整体主动转向系统,-,-,-
接近角(°),9.8,9.8,12
排量(mL),1991,1991,1991
换挡形式,,,
挡位个数,8,8,7
扬声器数量,,,
扬声器品牌名称,,,
手机无线充电功能,,,
手机互联/映射,,,
手机APP远程控制,,,
手势控制,-,-,-
感应雨刷功能,,,
感应后备厢,-,-,-
座椅材质,,,
座位数(个),5,5,5
并线辅助,●,●,○
巡航系统,,,
导航路况信息显示,●,●,●
宽度(mm),1850,1850,1796
官方0-100km/h加速(s),4,3.9,4.7
安全带未系提醒,,,
天窗类型,,,
大灯高度可调,●,●,●
大灯清洗装置,-,-,-
大灯延时关闭,●,●,●
多层隔音玻璃,-,-,-
多媒体/充电接口,,,
多功能方向盘,●,●,●
外后视镜功能,,,
备胎规格,无,无,无
地图品牌,,,
四驱形式,适时四驱,适时四驱,适时四驱
后风挡遮阳帘,-,-,-
后雨刷,●,●,●
后轮距(mm),-,-,-
后轮胎规格,245/35 R19,245/35 R19,235/35 R19
后排独立空调,-,-,-
后排液晶屏幕,-,-,-
后排杯架,●,●,●
后排控制多媒体,-,-,-
后排座椅电动放倒,-,-,-
后排座椅放倒形式,,,
后排小桌板,-,-,-
后排侧隐私玻璃,-,●,●
后排侧窗遮阳帘,-,-,-
后悬架类型,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架
后座出风口,-,-,-
后备厢容积(L),-,-,-
后制动器类型,通风盘式,通风盘式,通风盘式
可变转向比,●,●,●
可变悬架功能,,,-
可加热喷水嘴,-,-,-
变速箱类型,湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT)
变速箱,8挡湿式双离合,8挡湿式双离合,7挡湿式双离合
发动机电子防盗,●,●,●
发动机布局,横置,横置,横置
发动机型号,139 980,139 980,260 920
发动机启停技术,●,●,●
