Feature,50916,55151,55152,55153,60228,60229,60230,60231,63004,63005,63006
高度(mm),1438,1432,1432,1432,1432,1432,1432,1438,1432,1432,1432
驾驶辅助影像,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置后驱,前置后驱,前置后驱
首任车主质保政策,-,-,-,-,-,-,-,-,-,-,-
面部识别,-,-,-,-,-,-,-,-,-,-,-
隐藏电动门把手,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996
长*宽*高(mm),4996*1896*1438,4996*1890*1432,4996*1890*1432,4996*1896*1432,4996*1890*1432,4996*1890*1432,4996*1896*1432,4996*1896*1438,4996*1896*1432,4996*1896*1432,4996*1896*1432
钥匙类型,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●
道路交通标识识别,○,○,○,○,○,○,○,○,○,○,○
远程启动功能,,,,,,,,,,,
远光灯光源,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,●,○,○,●,○,○,●,●,●,●,●
辅助驾驶等级,,-,-,,-,-,,,-,-,
轴距(mm),2939,2939,2939,2939,2939,2939,2939,2939,2939,2939,2939
轮圈材质,,,,,,,,,,,
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-
转向头灯,●,○,○,○,○,○,○,●,○,○,○
车门数(个),4,4,4,4,4,4,4,4,4,4,4
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,-,-,●,-,-,●,●,-,-,●
车道偏离预警系统,●,-,-,●,-,-,●,●,-,-,●
车道保持辅助系统,●,-,-,●,-,-,●,●,-,-,●
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-
车载智能系统,,,,,,,,,,,
车载冰箱,-,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,
车型名称,奔驰CLS 2022款 CLS 350 4MATIC,奔驰CLS 2022款 CLS 260,奔驰CLS 2022款 CLS 300 动感型,奔驰CLS 2022款 CLS 300 豪华型,奔驰CLS 2023款 CLS 260,奔驰CLS 2023款 CLS 300 动感型,奔驰CLS 2023款 CLS 300 豪华型,奔驰CLS 2023款 CLS 350 4MATIC,奔驰CLS 2023款 改款 CLS 260,奔驰CLS 2023款 改款 CLS 300 动感型,奔驰CLS 2023款 改款 CLS 300 豪华型
车前雾灯,-,-,-,-,-,-,-,-,-,-,-
车内香氛装置,●,○,○,●,○,○,●,●,○,○,●
车内环境氛围灯,,,,,,,,,,,
车内化妆镜,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,-,-,-,-,-,-,-,-,,,
负离子发生器,●,○,○,●,○,○,●,●,○,○,●
语音识别控制系统,,,,,,,,,,,
触摸式阅读灯,-,-,-,-,-,-,-,-,-,-,-
被动行人保护,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,,,,,
行李厢12V电源接口,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,●,○,○,○,○,○,○,●,○,○,○
自动驻车,●,●,●,●,●,●,●,●,●,●,●
自动泊车入位,●,●,●,●,●,●,●,●,●,●,●
自动头灯,●,●,●,●,●,●,●,●,●,●,●
膝部气囊,●,●,●,●,●,●,●,●,●,●,●
能源类型,汽油+48V轻混系统,汽油,汽油,汽油,汽油,汽油,汽油,汽油+48V轻混系统,汽油,汽油,汽油
胎压监测功能,,,,,,,,,,,
缺气保用轮胎,●,●,●,●,●,●,●,●,●,●,●
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车
