Feature,49281,53483,53484,53486,53488,53490,55227,55228,55229,55230,55231
高度(mm),1429,1429,1429,1429,1429,1429,1429,1429,1429,1429,1429
驾驶辅助影像,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置前驱,前置四驱,前置四驱,前置四驱,前置四驱
面部识别,-,-,-,-,-,-,-,-,-,-,-
隐藏电动门把手,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5076,5076,5076,5076,5076,5076,5076,5076,5076,5076,5076
长*宽*高(mm),5076*1908*1429,5076*1908*1429,5076*1908*1429,5076*1908*1429,5076*1908*1429,5076*1908*1429,5076*1908*1429,5076*1908*1429,5076*1908*1429,5076*1908*1429,5076*1908*1429
钥匙类型,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●
道路交通标识识别,○,○,○,○,○,●,-,○,○,-,-
远程启动功能,-,-,-,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,
运动风格座椅,●,-,-,●,●,-,●,●,●,●,●
运动外观套件,●,●,●,●,●,●,●,●,●,●,●
辅助驾驶芯片,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),3026,3026,3026,3026,3026,3026,3026,3026,3026,3026,3026
轮圈材质,,,,,,,,,,,
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-
转向头灯,●,●,●,●,●,●,●,●,●,●,●
车顶行李架,-,-,-,-,-,-,-,-,-,-,-
车门数(个),4,4,4,4,4,4,4,4,4,4,4
车道偏离预警系统,●,●,●,●,●,●,●,●,●,●,●
车道保持辅助系统,○,○,○,○,○,●,-,○,○,-,-
车载空气净化器,●,●,●,○,○,●,-,○,○,-,-
车载电视,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,
车型名称,奥迪A7L 2022款 55 TFSI quattro S-line edition one先行版,奥迪A7L 2022款 55 TFSI quattro S-line 境远型曜黑套装,奥迪A7L 2022款 55 TFSI quattro S-line 境远型流晶套装,奥迪A7L 2022款 55 TFSI quattro S-line 志远型曜黑套装,奥迪A7L 2022款 55 TFSI quattro S-line 志远型流晶套装,奥迪A7L 2022款 55 TFSI quattro S-line edition executive先见版,奥迪A7L 2022款 45 TFSI S-line 筑梦型,奥迪A7L 2022款 45 TFSI quattro S-line 见远型流晶套装,奥迪A7L 2022款 45 TFSI quattro S-line 见远型曜黑套装,奥迪A7L 2022款 45 TFSI quattro S-line 黑武士版,奥迪A7L 2022款 45 TFSI quattro S-line 白法师版
