Feature,57253,57254,57255,57256,61332,61333,61334,61945,61946
高度(mm),1626,1626,1626,1626,1626,1626,1626,1626,1626
驾驶辅助影像,,,,,,,,,
驾驶模式切换,,,,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动电机数,单电机,双电机,单电机,双电机,单电机,双电机,双电机,单电机,单电机
驱动方式,后置后驱,双电机四驱,后置后驱,双电机四驱,后置后驱,双电机四驱,双电机四驱,后置后驱,后置后驱
首任车主质保政策,-,-,-,-,-,-,-,-,-
风阻系数(Cd),0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28
陡坡缓降,-,-,-,-,-,-,-,-,-
长度(mm),4588,4588,4588,4588,4588,4588,4588,4588,4588
长*宽*高(mm),4588*1865*1626,4588*1865*1626,4588*1865*1626,4588*1865*1626,4588*1865*1626,4588*1865*1626,4588*1865*1626,4588*1865*1626,4588*1865*1626
钥匙类型,,,,,,,,,
道路救援呼叫,●,●,●,●,●,●,●,●,●
道路交通标识识别,○,●,●,●,●,●,●,○,●
远程启动功能,,,,,,,,,
远光灯光源,,,,,,,,,
近光灯光源,,,,,,,,,
运动风格座椅,●,●,●,●,●,●,●,●,●
辅助驾驶等级,,,,,,,,,
轴距(mm),2765,2765,2765,2765,2765,2765,2765,2765,2765
轮圈材质,,,,,,,,,
车顶行李架,●,●,●,●,●,●,●,●,●
车门数(个),5,5,5,5,5,5,5,5,5
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,○,○,○,●,○,○,●,○,○
车道偏离预警系统,○,●,●,●,●,●,●,●,●
车道保持辅助系统,○,○,○,●,○,○,●,○,○
车载空气净化器,●,●,●,●,●,●,●,●,●
车载智能系统,,,,,,,,,
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,
