Feature,47121,47122
高度(mm),1415,1438
驾驶辅助影像,,
驾驶模式切换,,
驻车制动类型,电子驻车,电子驻车
驱动方式,前置四驱,前置四驱
陡坡缓降,-,-
长度(mm),4504,4351
长*宽*高(mm),4504*1816*1415,4351*1816*1438
钥匙类型,,
配气机构,DOHC,DOHC
道路救援呼叫,●,●
道路交通标识识别,○,○
远光灯光源,,
进气形式,涡轮增压,涡轮增压
近光灯光源,,
运动风格座椅,●,●
运动外观套件,●,●
轴距(mm),2630,2630
轮圈材质,,
车门数(个),4,5
车道偏离预警系统,●,●
车道保持辅助系统,-,-
车载空气净化器,-,-
车身结构_y,三厢车,两厢车
车身结构_x,4门5座三厢车,5门5座两厢车
车身稳定控制(ESC/ESP/DSC等),●,●
车联网,○,○
车窗防夹手功能,●,●
车窗一键升降功能,,
车型名称,奥迪S3 2021款 S3 Limousine edition one 欧洲版,奥迪S3 2021款 S3 Sportback edition one 欧洲版
车前雾灯,-,-
车内环境氛围灯,,
车内化妆镜,,
车内中控锁,●,●
车内PM2.5过滤装置,-,-
车体结构,承载式,承载式
语音识别控制系统,,
触摸式阅读灯,●,●
行车电脑显示屏幕,,
蓝牙/车载电话,●,●
自适应远近光,○,○
自动驻车,●,●
自动泊车入位,○,○
自动头灯,●,●
能源类型,汽油,汽油
胎压监测功能,,
缺气保用轮胎,-,-
缸盖材料,铝合金,铝合金
缸体材料,铸铁,铸铁
级别,紧凑型车,紧凑型车
简称,7挡湿式双离合,7挡湿式双离合
第二排座椅调节,-,-
空调温度控制方式,,
疲劳驾驶提示,-,-
电动座椅记忆功能,,
电动后备厢位置记忆,-,○
电动后备厢,-,○
环保标准_y,欧VI,欧VI
环保标准_x,欧VI,欧VI
牵引力控制(ASR/TCS/TRC等),●,●
燃油标号,98号,98号
燃料形式,汽油,汽油
灯光特色功能,,
温度分区控制,●,●
液晶仪表尺寸,,
油箱容积(L),55,55
气缸数(个),4,4
气缸排列形式,L,L
每缸气门数(个),4,4
最高车速(km/h),250,250
最大马力(Ps),310,310
最大扭矩转速(rpm),2000-5450,2000-5450
最大扭矩(N·m)_y,400,400
最大扭矩(N·m)_x,400,400
最大功率转速(rpm),5450-6500,5450-6500
最大功率(kW)_y,228,228
最大功率(kW)_x,228,228
无钥匙进入功能,,
无钥匙启动系统,○,○
方向盘记忆,-,-
方向盘材质,,
方向盘换挡,●,●
方向盘加热,-,-
方向盘位置调节,,
整备质量(kg),1580,1575
排量(mL),1984,1984
挡位个数,7,7
扬声器数量,,
扬声器品牌名称,,
手机无线充电功能,,
手机互联/映射,,
感应雨刷功能,,
座椅材质,,
座位数(个),5,5
并线辅助,-,-
巡航系统,,
导航路况信息显示,○,○
宽度(mm),1816,1816
官方0-100km/h加速(s),4.8,4.8
安全带未系提醒,,
天窗类型,,
大灯高度可调,●,●
大灯清洗装置,●,●
大灯延时关闭,-,-
多层隔音玻璃,,
多媒体/充电接口,,
多功能方向盘,●,●
外后视镜功能,,
备胎规格,无,无
四驱形式,全时四驱,全时四驱
后雨刷,-,●
后轮距(mm),1519,1519
后轮胎规格,225/40 R18,225/40 R18
后排独立空调,-,-
后排杯架,-,-
后排座椅放倒形式,,
后排侧隐私玻璃,○,○
后悬架类型,多连杆式独立悬架,多连杆式独立悬架
后座出风口,●,●
后备厢容积(L),325,325
后制动器类型,通风盘式,通风盘式
可变转向比,●,●
变速箱类型,湿式双离合变速箱(DCT),湿式双离合变速箱(DCT)
变速箱,7挡湿式双离合,7挡湿式双离合
发动机电子防盗,●,●
发动机型号,-,-
发动机启停技术,-,-
发动机,2.0T 310马力 L4,2.0T 310马力 L4
厂商指导价(元),0.00万,0.00万
厂商,奥迪(进口),奥迪(进口)
卫星导航系统,○,○
助力类型,电动助力,电动助力
副驾驶位后排可调节按钮,-,-
副座椅调节方式,,
前轮距(mm),1545,1545
前轮胎规格,225/40 R18,225/40 R18
前排座椅功能,,
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架
前制动器类型,通风盘式,通风盘式
前/后驻车雷达,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排侧气囊,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后中央扶手,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
刹车辅助(EBA/BAS/BA等),●,●
制动力分配(EBD/CBC等),●,●
内后视镜功能,,
全液晶仪表盘,●,●
倒车车侧预警系统,○,○
供油方式,直喷,直喷
主座椅调节方式,,
主动刹车/主动安全系统,●,●
主/副驾驶座电动调节,主○&nbsp;/&nbsp;副○,主○&nbsp;/&nbsp;副○
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
中控彩色屏幕,,
中控屏幕尺寸,,
中央差速器结构,多片离合器,多片离合器
上坡辅助,○,○
USB/Type-C接口数量,,
OTA升级,-,-
NEDC综合油耗(L/100km),7.3,7.4
LED日间行车灯,●,●
ISOFIX儿童座椅接口,●,●
HUD抬头数字显示,○,○
ABS防抱死,●,●
