Feature,49865
高度(mm),1434
驾驶辅助影像,-
驾驶模式切换,-
驻车制动类型,电子驻车
驱动方式,前置前驱
首任车主质保政策,-
陡坡缓降,-
长度(mm),4319
长*宽*高(mm),4319*1799*1434
钥匙类型,-
配气机构,DOHC
远光灯光源,-
进气形式,涡轮增压
近光灯光源,-
轴距(mm),2670
轮圈材质,-
车门数(个),5
车道偏离预警系统,-
车道保持辅助系统,-
车载空气净化器,-
车身结构_y,两厢车
车身结构_x,5门5座两厢车
车身稳定控制(ESC/ESP/DSC等),-
车联网,-
车窗防夹手功能,-
车窗一键升降功能,-
车型名称,宝马1系(进口) 2021款 128ti 英国版
车前雾灯,-
车内环境氛围灯,-
车内化妆镜,-
车内中控锁,-
车内PM2.5过滤装置,-
车体结构,承载式
语音识别控制系统,-
行车电脑显示屏幕,-
行程(mm),94.6
蓝牙/车载电话,-
自适应远近光,-
自动驻车,-
自动头灯,-
能源类型,汽油
胎压监测功能,-
缺气保用轮胎,-
缸盖材料,铝合金
缸径(mm),82
缸体材料,铝合金
级别,紧凑型车
简称,8挡手自一体
第二排座椅调节,-
空调温度控制方式,-
疲劳驾驶提示,-
电动座椅记忆功能,-
电动后备厢,-
环保标准_y,欧VI
环保标准_x,欧VI
牵引力控制(ASR/TCS/TRC等),-
燃油标号,95号
燃料形式,汽油
温度分区控制,-
液晶仪表尺寸,-
油箱容积(L),50
气缸数(个),4
气缸排列形式,L
每缸气门数(个),4
最高车速(km/h),-
最大马力(Ps),265
最大扭矩转速(rpm),1750-4500
最大扭矩(N·m)_y,400
最大扭矩(N·m)_x,400
最大功率转速(rpm),4750-6500
最大功率(kW)_y,195
最大功率(kW)_x,195
最大净功率(kW),-
无钥匙进入功能,-
无钥匙启动系统,-
方向盘记忆,-
方向盘材质,-
方向盘换挡,-
方向盘加热,-
方向盘位置调节,-
整车质保,-
整备质量(kg),1520
排量(mL),1998
挡位个数,8
扬声器数量,-
扬声器品牌名称,-
手机无线充电功能,-
手机互联/映射,-
感应雨刷功能,-
座椅材质,-
座位数(个),5
并线辅助,-
巡航系统,-
导航路况信息显示,-
宽度(mm),1799
官方0-100km/h加速(s),6.1
安全带未系提醒,-
天窗类型,-
大灯高度可调,-
大灯延时关闭,-
多媒体/充电接口,-
多功能方向盘,-
外后视镜功能,-
备胎规格,无
四驱形式,-
后雨刷,-
后轮距(mm),-
后轮胎规格,225/40 R18
后排独立空调,-
后排杯架,-
后排座椅放倒形式,-
后悬架类型,多连杆式独立悬架
后座出风口,-
后备厢容积(L),380-1200
后制动器类型,通风盘式
变速箱类型,手自一体变速箱(AT)
变速箱,8挡手自一体
发动机电子防盗,-
发动机特有技术,Double VANOS/Valvetronic
发动机布局,-
发动机型号,-
发动机启停技术,-
发动机,2.0T 265马力 L4
厂商指导价(元),0.00万
厂商,宝马(进口)
卫星导航系统,-
助力类型,电动助力
副驾驶位后排可调节按钮,-
副座椅调节方式,-
前轮距(mm),-
前轮胎规格,225/40 R18
前排座椅功能,-
前悬架类型,麦弗逊式独立悬架
前制动器类型,通风盘式
前/后驻车雷达,-
前/后电动车窗,-
前/后排头部气囊(气帘),-
前/后排侧气囊,-
前/后中央扶手,-
刹车辅助(EBA/BAS/BA等),-
制动力分配(EBD/CBC等),-
内后视镜功能,-
全液晶仪表盘,-
供油方式,直喷
主座椅调节方式,-
主动刹车/主动安全系统,-
主/副驾驶座电动调节,-
主/副驾驶座安全气囊,-
中控彩色屏幕,-
中控屏幕尺寸,-
中央差速器结构,-
上市时间,-
上坡辅助,-
WLTC综合油耗(L/100km),5.75
USB/Type-C接口数量,-
OTA升级,-
LED日间行车灯,-
ISOFIX儿童座椅接口,-
ABS防抱死,-
