Feature,52661,52662,52663,54066,54067,54070,56584,56586,56589,56591,59506,59507
高度(mm),1452,1452,1452,1395,1395,1396,1395,1395,1396,1396,1395,1452
驾驶辅助影像,,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱
首任车主质保政策,-,-,-,-,-,-,-,-,-,-,-,-
面部识别,-,-,-,-,-,-,-,-,-,-,-,-
隐藏电动门把手,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,-,-,,-,-,-,-,,-,,-,-
长度(mm),4788,4788,4788,4773,4773,4773,4773,4773,4773,4773,4773,4788
长*宽*高(mm),4788*1852*1452,4788*1852*1452,4788*1852*1452,4773*1852*1395,4773*1852*1395,4773*1852*1396,4773*1852*1395,4773*1852*1395,4773*1852*1396,4773*1852*1396,4773*1852*1395,4788*1852*1452
钥匙类型,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●
道路交通标识识别,○,○,○,○,○,○,○,○,○,○,-,-
远程启动功能,,,,,,,,,,,,
远光灯光源,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,
运动风格座椅,●,●,●,●,●,●,●,●,●,●,●,●
运动外观套件,●,●,●,●,●,●,●,●,●,●,●,●
辅助驾驶等级,,,,-,-,-,-,-,-,-,-,-
轴距(mm),2856,2856,2856,2851,2851,2851,2851,2851,2851,2851,2851,2856
轮圈材质,,,,,,,,,,,,
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),5,5,5,2,2,2,2,2,2,2,2,5
车道居中保持,○,○,○,-,-,-,-,-,-,-,-,-
车道偏离预警系统,●,●,●,●,●,●,●,●,●,●,●,●
车道保持辅助系统,○,○,○,-,-,-,-,-,-,-,-,●
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-
车载智能系统,,,,,,,,,,,,
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,掀背车,掀背车,掀背车,硬顶跑车,硬顶跑车,软顶敞篷车,硬顶跑车,硬顶跑车,软顶敞篷车,软顶敞篷车,硬顶跑车,掀背车
车身结构_x,5门5座掀背车,5门5座掀背车,5门5座掀背车,2门4座硬顶跑车,2门4座硬顶跑车,2门4座软顶敞篷车,2门4座硬顶跑车,2门4座硬顶跑车,2门4座软顶敞篷车,2门4座软顶敞篷车,2门4座硬顶跑车,5门5座掀背车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,
车型名称,宝马4系 2022款 425i Gran Coupe M运动套装,宝马4系 2022款 425i Gran Coupe M运动曜夜套装,宝马4系 2022款 430i Gran Coupe M运动曜夜套装,宝马4系 2022款 425i M运动套装,宝马4系 2022款 425i 时尚型 M运动曜夜套装,宝马4系 2022款 425i 敞篷M运动套装,宝马4系 2022款 改款 425i M运动曜夜套装,宝马4系 2022款 改款二 430i M运动曜夜套装,宝马4系 2022款 改款 425i 敞篷M运动曜夜套装,宝马4系 2022款 改款二 430i 敞篷M运动曜夜套装,宝马4系 2022款 430i 天鹅绒兰花紫特别版,宝马4系 2022款 425i Gran Coupe 达喀尔黄特别版
车前雾灯,-,-,-,,,,,,,,,-
车内香氛装置,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,,,,,,,,,,,,
车内化妆镜,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
负离子发生器,-,-,-,-,-,-,-,-,-,-,-,-
语音识别控制系统,,,,,,,,,,,,
