Feature,45224,50024,54172,56975,56976,56977,56978,56979,58103,60617,60618
高度(mm),1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450
驾驶辅助影像,,,,,,,,,,-,-
驾驶模式切换,,,,,,,,,,-,-
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,双电机
驱动方式,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,双电机四驱
风阻系数(Cd),0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,0.236,-,-
面部识别,-,-,-,-,●,-,●,●,-,-,-
隐藏电动门把手,●,●,●,●,●,●,●,●,●,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4880,4880,4880,4880,4880,4880,4880,4880,4880,4888,4888
长*宽*高(mm),4880*1896*1450,4880*1896*1450,4880*1896*1450,4880*1896*1450,4880*1896*1450,4880*1896*1450,4880*1896*1450,4880*1896*1450,4880*1896*1450,4888*1896*1450,4888*1896*1450
钥匙类型,,,,,,,,,,-,-
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-
道路交通标识识别,●,●,●,-,●,-,●,●,-,-,-
透明底盘/540度影像,●,●,●,-,●,-,●,●,-,-,-
远程启动功能,,,,,,,,,,-,-
远光灯光源,,,,,,,,,,-,-
近光灯光源,,,,,,,,,,-,-
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-
辅助驾驶芯片,-,-,-,-,,-,,,-,-,-
辅助驾驶系统,,,,-,,-,,,-,-,-
辅助驾驶等级,,,,-,,-,,,-,-,-
轴距(mm),2998,2998,2998,2998,2998,2998,2998,2998,2998,2998,2998
轮圈材质,,,,,,,,,,-,-
转向辅助灯,●,●,●,●,●,●,●,●,●,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-,-
车门数(个),4,4,4,4,4,4,4,4,4,4,4
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,-,●,-,●,●,-,-,-
车道偏离预警系统,●,●,●,-,●,-,●,●,-,-,-
车道保持辅助系统,●,●,●,-,●,-,●,●,-,-,-
车载空气净化器,●,●,●,●,●,●,●,●,●,-,-
车载智能系统,,,,,,,,,,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,-,-
车联网,●,●,●,●,●,●,●,●,●,-,-
车窗防夹手功能,●,●,●,●,●,●,●,●,●,-,-
车窗一键升降功能,,,,,,,,,,-,-
车型名称,小鹏P7 2020款 670N,小鹏P7 2021款 480N,小鹏P7 2022款 480N+,小鹏P7 2022款 480G+,小鹏P7 2022款 480E+,小鹏P7 2022款 586G,小鹏P7 2022款 625E,小鹏P7 2022款 480E,小鹏P7 2022款 480G,小鹏P7 2023款 两驱版,小鹏P7 2023款 四驱版
车前雾灯,-,-,-,-,-,-,-,-,-,-,-
车内香氛装置,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,,,,,,,,,,-,-
车内化妆镜,,,,,,,,,,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,-,-
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,,,,,,-,-
负离子发生器,●,●,●,●,●,●,●,●,●,-,-
语音识别控制系统,,,,,,,,,,-,-
触摸式阅读灯,●,●,●,●,●,●,●,●,●,-,-
被动行人保护,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,,,,-,-
行李厢12V电源接口,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,-,-
芯片总算力,-,-,-,-,,-,,,-,-,-
自适应远近光,-,-,-,-,●,-,●,●,-,-,-
自动驻车,●,●,●,●,●,●,●,●,●,-,-
自动泊车入位,●,●,●,-,●,-,●,●,-,-,-
自动头灯,●,●,●,●,●,●,●,●,●,-,-
自动变道辅助,●,●,●,-,●,-,●,●,-,-,-
膝部气囊,-,-,-,-,-,-,-,-,-,-,-
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,,,,,,,,,,-,-
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-
级别,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排独立座椅,-,-,-,-,-,-,-,-,-,-,-
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-
第二排座椅电动调节,-,-,-,-,-,-,-,-,-,-,-
第二排座椅功能,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,,-,-
空气悬架,-,-,-,-,-,-,-,-,-,-,-
离去角(°),14,14,14,14,14,14,14,14,14,15,15
百公里耗电量(kWh/100km),13.5,13.8,13.8,13.8,13.8,13,13.3,13.8,13.8,-,-
疲劳驾驶提示,-,-,-,-,●,-,●,●,-,-,-
电芯品牌,宁德时代/中航锂电/亿纬锂能,宁德时代/中航锂电/亿纬锂能,宁德时代/中航锂电/亿纬锂能,宁德时代/中航锂电/亿纬锂能,宁德时代/中航锂电/亿纬锂能,宁德时代/中航锂电/亿纬锂能,宁德时代/中航锂电/亿纬锂能,宁德时代/中航锂电/亿纬锂能,宁德时代/中航锂电/亿纬锂能,中创新航,中创新航
电能当量燃料消耗量(L/100km),1.5,1.6,1.6,1.6,1.6,1.47,1.5,1.6,1.6,-,-
电磁感应悬架,-,-,-,-,-,-,-,-,-,-,-
电池预加热,●,●,●,●,●,●,●,●,●,-,-
电池能量密度(Wh/kg),160,125,125,125,125,161,160,125,125,-,-
电池能量(kWh),83.1,60.2,60.2,60.2,60.2,70.8,77.9,60.2,60.2,-,-
电池组质保,八年或16万公里,八年或16万公里,八年或16万公里,八年或16万公里,八年或16万公里,八年或16万公里,八年或16万公里,八年或16万公里,八年或16万公里,八年或16万公里,八年或16万公里
电池类型,三元锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,三元锂电池,三元锂电池,磷酸铁锂电池,磷酸铁锂电池,三元锂电池,三元锂电池
电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,后置,后置,后置,后置,后置,后置,后置,后置,后置,后置,前置+后置
电动机总扭矩(N·m),390,390,390,390,390,390,390,390,390,-,-
电动机总功率(kW),196,196,196,196,196,196,196,196,196,203,348
电动机总功率(Ps),267,267,267,267,267,267,267,267,267,276,473
电动机(Ps),267,267,267,267,267,267,267,267,267,276,473
电动扰流板,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,,,,,,,,,,-,-
电动吸合车门,-,-,-,-,-,-,-,-,-,-,-
电动后备厢位置记忆,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,-,-
灯光特色功能,-,-,-,-,-,-,-,-,-,-,-
温度分区控制,●,●,●,●,●,●,●,●,●,-,-
液晶仪表尺寸,,,,,,,,,,-,-
毫米波雷达数量,,,,-,,-,,,-,-,-
最高车速(km/h),170,170,170,170,170,170,170,170,170,200,200
最大满载质量(kg),2370,2295,2325,2325,2295,2265,2315,2295,2325,2415,2515
最大扭矩(N·m),390,390,390,390,390,390,390,390,390,-,-
最大功率(kW),196,196,196,196,196,196,196,196,196,203,348
无钥匙进入功能,,,,,,,,,,-,-
无钥匙启动系统,●,●,●,●,●,●,●,●,●,-,-
无框设计车门,●,●,●,●,●,●,●,●,●,-,-
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,-,-
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-
方向盘位置调节,,,,,,,,,,-,-
整车质保,五年或12万公里,五年或12万公里,五年或12万公里,五年或12万公里,五年或12万公里,五年或12万公里,五年或12万公里,五年或12万公里,五年或12万公里,五年或12万公里,五年或12万公里
整备质量(kg),1995,1920,1950,1950,1920,1890,1915,1920,1950,1980,2140
整体主动转向系统,-,-,-,-,-,-,-,-,-,-,-
摄像头数量,,,,,,,,,,-,-
接近角(°),13,13,13,13,13,13,13,13,13,14,14
换挡形式,,,,,,,,,,-,-
挡位个数,1,1,1,1,1,1,1,1,1,1,1
扬声器数量,,,,,,,,,,-,-
扬声器品牌名称,,,,,,,,,,-,-
手机无线充电功能,,,,,,,,,,-,-
手机互联/映射,-,-,-,-,-,-,-,-,-,-,-
手机APP远程控制,,,,,,,,,,-,-
手势控制,-,-,-,-,-,-,-,-,-,-,-
慢充时间(小时)_y,6.5,5,5,5,5,5.7,-,5,5,-,-
慢充时间(小时)_x,6.5,5,5,5,5,5.7,-,5,5,-,-
感应雨刷功能,,,,,-,,-,-,,-,-
感应后备厢,-,-,-,-,-,-,-,-,-,-,-
快充电量百分比,80,80,80,80,80,80,80,80,80,-,-
快充电量(%),80,80,80,80,80,80,80,80,80,-,-
快充时间(小时)_y,0.55,0.45,0.45,0.45,0.45,0.42,0.55,0.45,0.45,-,-
快充时间(小时)_x,0.55,0.45,0.45,0.45,0.45,0.42,0.55,0.45,0.45,-,-
快充功能,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持
座椅材质,,,,,,,,,,-,-
座位数(个),5,5,5,5,5,5,5,5,5,5,5
并线辅助,●,●,●,-,●,-,●,●,-,-,-
巡航系统,,,,,,,,,,-,-
导航路况信息显示,●,●,●,●,●,●,●,●,●,-,-
宽度(mm),1896,1896,1896,1896,1896,1896,1896,1896,1896,1896,1896
官方0-100km/h加速(s),6.7,6.7,6.7,6.7,6.7,6.7,-,6.7,6.7,-,-
安全带未系提醒,,,,,,,,,,-,-
天窗类型,,,,,,,,,,-,-
大灯高度可调,●,●,●,●,●,●,●,●,●,-,-
大灯清洗装置,-,-,-,-,-,-,-,-,-,-,-
