Feature,51482,51483
高度(mm),1705,1705
驾驶辅助影像,-,
驾驶模式切换,,
驻车制动类型,手刹,手刹
驱动电机数,单电机,单电机
驱动方式,后置后驱,后置后驱
面部识别,-,-
隐藏电动门把手,-,-
陡坡缓降,-,-
限滑差速器/差速锁,-,-
长度(mm),3560,3560
长*宽*高(mm),3560*1610*1705,3560*1610*1705
钥匙类型,,
道路救援呼叫,-,-
道路交通标识识别,-,-
远程启动功能,-,-
远光灯光源,,
近光灯光源,,
运动风格座椅,-,-
运动外观套件,-,-
辅助驾驶芯片,-,-
轴距(mm),2250,2250
轮圈材质,,
转向辅助灯,-,-
转向头灯,-,-
车顶行李架,●,●
车门数(个),3,3
车道偏离预警系统,-,-
车道保持辅助系统,-,-
车载空气净化器,-,-
车载电视,-,-
车载冰箱,-,-
车载CD/DVD,-,-
车身结构_y,SUV,SUV
车身结构_x,3门4座SUV,3门4座SUV
车身稳定控制(ESC/ESP/DSC等),-,-
车联网,-,-
车窗防夹手功能,-,-
车窗一键升降功能,-,-
车型名称,恒润HRS1 2021款 经典型,恒润HRS1 2021款 精英型
车前雾灯,,
车内香氛装置,-,-
车内环境氛围灯,-,-
车内化妆镜,,
车内中控锁,●,●
车内PM2.5过滤装置,-,-
车侧脚踏板,-,-
车体结构,承载式,承载式
超声波雷达数量,-,-
负离子发生器,-,-
语音识别控制系统,-,
触摸式阅读灯,-,-
被动行人保护,-,-
行车电脑显示屏幕,,
行李厢容积(L),-,-
行李厢12V电源接口,-,-
蓝牙/车载电话,-,●
芯片总算力,-,-
自适应远近光,-,-
自动驻车,-,-
自动泊车入位,-,-
自动头灯,○,○
膝部气囊,-,-
能源类型,纯电动,纯电动
胎压监测功能,-,
缺气保用轮胎,-,-
纯电续航里程(km),305,305
级别,小型SUV,小型SUV
系统综合扭矩(N·m),-,-
系统综合功率(kW),-,-
简称,电动车单速变速箱,电动车单速变速箱
第二排独立座椅,-,-
第二排座椅调节,-,-
空调温度控制方式,,
空气悬架,-,-
百公里耗电量(kWh/100km),-,-
疲劳驾驶提示,-,-
电磁感应悬架,-,-
电池预加热,○,●
电池能量(kWh),28.2,28.2
电池组质保,八年或12万公里,八年或12万公里
电池类型,磷酸铁锂电池,磷酸铁锂电池
电机类型,永磁/同步,永磁/同步
电机布局,后置,后置
电动机总扭矩(N·m),140,140
电动机总功率(kW),32,32
电动机(Ps),44,44
电动扰流板,-,-
电动座椅记忆功能,-,-
电动吸合车门,-,-
电动后备厢位置记忆,-,-
电动后备厢,-,-
电动可调踏板,-,-
牵引力控制(ASR/TCS/TRC等),-,-
灯光特色功能,-,-
激光雷达数量,-,-
温度分区控制,-,-
液晶仪表尺寸,-,-
涉水感应系统,-,-
油箱容积(L),-,-
毫米波雷达数量,-,-
最高车速(km/h),100,100
最小离地间隙(mm),185,185
最大扭矩(N·m),140,140
最大功率(kW),32,32
无钥匙进入功能,-,-
无钥匙启动系统,-,-
无框设计车门,-,-
方向盘记忆,-,-
方向盘材质,,
方向盘换挡,-,-
方向盘加热,-,-
方向盘位置调节,-,-
整车质保,待查,待查
整备质量(kg),1160,1160
整体主动转向系统,-,-
摄像头数量,-,-
挡位个数,1,1
扬声器数量,,
扬声器品牌名称,-,-
手机无线充电功能,-,-
手机互联/映射,-,
手势控制,-,-
慢充时间(小时)_y,12,12
慢充时间(小时)_x,12,12
感应雨刷功能,-,-
感应后备厢,-,-
快充电量百分比,-,-
快充电量(%),-,-
快充时间(小时)_y,-,1.5
快充时间(小时)_x,-,1.5
座椅材质,,
座椅布局,-,-
座位数(个),4,4
并线辅助,-,-
巡航系统,-,
尾门玻璃独立开启,-,-
导航路况信息显示,-,-
宽度(mm),1610,1610
实测续航里程(km),-,-
实测慢充时间(小时),-,-
实测快充时间(小时),-,-
实测100-0km/h制动(m),-,-
实测0-100km/h加速(s),-,-
官方0-100km/h加速(s),-,-
安全带未系提醒,,
天窗类型,-,-
大灯高度可调,●,●
大灯清洗装置,-,-
大灯延时关闭,-,-
夜视系统,-,-
多层隔音玻璃,-,-
多媒体/充电接口,,
多功能方向盘,-,●
外后视镜功能,,
备胎规格,无,无
后风挡遮阳帘,-,-
后雨刷,-,●
后轮距(mm),1370,1370
后轮胎规格,195/70 R15,195/70 R15
后电动机最大扭矩(N·m),140,140
后电动机最大功率(kW),32,32
后排独立空调,-,-
后排液晶屏幕,-,-
后排杯架,-,-
后排控制多媒体,-,-
后排座椅防下滑气囊,-,-
后排座椅电动调节,-,-
后排座椅电动放倒,-,-
后排座椅放倒形式,,
后排座椅功能,-,-
后排小桌板,-,-
后排安全带式气囊,-,-
后排侧隐私玻璃,-,-
后排侧窗遮阳帘,-,-
后排中央安全气囊,-,-
后悬架类型,五连杆非独立悬架,五连杆非独立悬架
后座出风口,-,-
后制动器类型,鼓式,鼓式
可变转向比,-,-
可变悬架功能,-,-
可加热喷水嘴,-,-
变速箱类型,固定齿比变速箱,固定齿比变速箱
厂商指导价(元),5.58万,7.98万
厂商,恒润汽车,恒润汽车
卫星导航系统,-,●
助力类型,电动助力,电动助力
加热/制冷杯架,-,-
副驾驶座垫式气囊,-,-
副驾驶位后排可调节按钮,-,-
副座椅调节方式,,
前轮距(mm),1360,1360
前轮胎规格,195/70 R15,195/70 R15
前电动机最大扭矩(N·m),-,-
前电动机最大功率(kW),-,-
前排座椅功能,-,-
前排中间气囊,-,-
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架
前大灯雨雾模式,-,-
前制动器类型,盘式,盘式
前/后驻车雷达,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○
前/后电动车窗,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后排头部气囊(气帘),-,-
前/后排侧气囊,-,-
前/后中央扶手,-,-
刹车辅助(EBA/BAS/BA等),-,-
制动力分配(EBD/CBC等),●,●
内置行车记录仪,-,-
内后视镜功能,,
全液晶仪表盘,●,●
倒车车侧预警系统,-,-
侧滑门形式,-,-
主座椅调节方式,,
主动降噪,-,-
主动闭合式进气格栅,-,-
主动刹车/主动安全系统,-,-
主/副驾驶座电动调节,-,-
主/副驾驶座安全气囊,主○&nbsp;/&nbsp;副○,主○&nbsp;/&nbsp;副○
中控液晶屏分屏显示,-,-
中控彩色屏幕,-,
中控屏幕尺寸,-,-
上市时间,2021.06,2021.06
上坡辅助,●,●
USB/Type-C接口数量,,
OTA升级,-,-
NEDC纯电续航里程(km),305,305
LED日间行车灯,●,●
ISOFIX儿童座椅接口,●,●
HUD抬头数字显示,-,-
ABS防抱死,●,●
220V/230V电源,-,-
