Feature,1004250,1004251,1007573,1007574
高度(mm),2480,2480,1850,1850
驱动方式,中置后驱,中置后驱,中置后驱,中置后驱
零胎压继续行驶,-,-,-,-
陡坡缓降,-,-,-,-
防紫外线玻璃,-,-,-,-
长度(mm),4825,4825,4780,4780
长*宽*高(mm),4825×1650×2480,4825×1650×2480,4780×1635×1850,4780×1635×1850
铝合金轮圈,-,-,-,-
配气机构,DOHC,DOHC,DOHC,DOHC
遮阳板化妆镜,-,-,-,-
遥控钥匙,-,-,-,-
道路救援呼叫,-,-,-,-
远光灯,卤素,卤素,卤素,卤素
进气形式,自然吸气,自然吸气,自然吸气,自然吸气
近光灯,卤素,卤素,卤素,卤素
运动风格座椅,-,-,-,-
运动外观套件,-,-,-,-
轴距(mm),2850,2850,2850,2850
转向辅助灯,-,-,-,-
转向头灯,-,-,-,-
车顶行李架,-,-,-,-
车门数(个),4,4,4,4
车载电视,-,-,-,-
车载冰箱,-,-,-,-
车身结构_y,货车,货车,货车,货车
车身结构_x,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-
车窗防夹手功能,-,-,-,-
车型名称,成功K2 2016款 1.2L 厢式运输车基本型,成功K2 2016款 1.2L 厢式运输车舒适型,成功K2 2019款 1.3L 舒适型HH413Q/P-A,成功K2 2019款 1.3L 标准型HH413Q/P-A
车内空气调节/花粉过滤,-,-,-,-
车内氛围灯,-,-,-,-
车内中控锁,-,-,-,-
车体结构,承载式,承载式,承载式,承载式
货箱尺寸(mm),2020x1525x1565,2020x1525x1565,2160x1540x375,2160x1540x375
行车电脑显示屏,-,-,-,-
行程(mm),79,79,82,82
蓝牙/车载电话,-,-,-,-
自适应远近光,-,-,-,-
自动驻车,-,-,-,-
自动头灯,-,-,-,-
膝部气囊,-,-,-,-
腰部支撑调节,-,-,-,-
能源类型,汽油,汽油,汽油,汽油
胎压监测装置,-,-,-,-
肩部支撑调节,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金
缸径(mm),69.7,69.7,69.7,69.7
缸体材料,未知,未知,未知,未知
级别,微卡,微卡,微卡,微卡
简称,5挡手动,5挡手动,5挡手动,5挡手动
第二排靠背角度调节,-,-,-,-
第二排座椅移动,-,-,-,-
第三排座椅,-,-,-,-
空调控制方式,-,手动●,手动●,-
空气悬架,-,-,-,-
皮质方向盘,-,-,-,-
电动座椅记忆,-,-,-,-
电动天窗,-,-,-,-
电动吸合门,-,-,-,-
电动后备厢,-,-,-,-
环保标准,国IV,国IV,国V,国V
牵引力控制(ASR/TCS/TRC等),-,-,-,-
燃油标号,92号,92号,92号,92号
燃料形式,汽油,汽油,汽油,汽油
温度分区控制,-,-,-,-
油箱容积(L),40,40,40,40
气缸数(个),4,4,4,4
气缸排列形式,L,L,L,L
每缸气门数(个),4,4,4,4
最高车速(km/h),-,-,130,130
最小离地间隙(mm),160,160,160,160
最大马力(Ps),86,86,87,87
最大载重质量(kg),540,540,695,695
最大扭矩转速(rpm),4000-4400,4000-4400,3000-4000,3000-4000
最大扭矩(N·m)_y,108,108,127,127
最大扭矩(N·m)_x,108,108,127,127
最大功率转速(rpm),6000,6000,6000,6000
最大功率(kW)_y,63,63,64,64
最大功率(kW)_x,63,63,64,64
无钥匙进入系统,-,-,-,-
无钥匙启动系统,-,-,-,-
方向盘调节,-,-,-,-
方向盘记忆,-,-,-,-
方向盘电动调节,-,-,-,-
方向盘换挡,-,-,-,-
方向盘加热,-,-,-,-
整车质保,-,-,-,-
整备质量(kg),1235,1235,1080,1080
排量(mL),1206,1206,1300,1300
挡位个数,5,5,5,5
扬声器品牌,-,-,-,-
扬声器个数,2-3喇叭,2-3喇叭,2-3喇叭,2-3喇叭
感应雨刷,-,-,-,-
感应后备厢,-,-,-,-
座椅高低调节,-,-,-,-
座椅材料,织物,织物,织物,织物
座位数(个),5,5,5,5
并线辅助,-,-,-,-
工信部综合油耗(L/100km),-,-,6.7,6.7
宽度(mm),1650,1650,1635,1635
定速巡航,-,-,-,-
安全带未系提示,●,●,●,●
大灯高度可调,-,-,-,-
大灯清洗装置,-,-,-,-
多功能方向盘,-,-,-,-
外接音源接口,USB,USB,USB,USB
后风挡遮阳帘,-,-,-,-
后雨刷,-,-,-,-
后轮距(mm),1410,1410,1410,1410
后轮胎规格,175 R14LT,175 R14LT,175 R14LT,175 R14LT
后视镜记忆,-,-,-,-
后视镜电动调节,-,-,-,-
后视镜电动折叠,-,-,-,-
后视镜加热,-,-,-,-
后桥限滑差速器/差速锁,-,-,-,-
后排车门开启方式,平开门,平开门,平开门,平开门
后排独立空调,-,-,-,-
后排液晶屏,-,-,-,-
后排杯架,-,-,-,-
后排座椅电动调节,-,-,-,-
后排座椅放倒方式,-,-,-,-
后排侧隐私玻璃,-,-,-,-
后排侧遮阳帘,-,-,-,-
后悬架类型,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架
后座出风口,-,-,-,-
后制动器类型,鼓式,鼓式,鼓式,鼓式
可变转向比,-,-,-,-
可变悬架,-,-,-,-
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
变速箱,5挡手动,5挡手动,5挡手动,5挡手动
发动机电子防盗,-,-,-,-
发动机型号,-,-,HH413Q/P-A,HH413Q/P-A
发动机启停技术,-,-,-,-
发动机,1.2L 86马力 L4,1.2L 86马力 L4,1.3L 87马力 L4,1.3L 87马力 L4
压缩比,9.8,9.8,10,10
厂商指导价(元),4.28万,4.58万,4.20万,3.90万
厂商,成功汽车,成功汽车,成功汽车,成功汽车
助力类型,无助力,无助力,电动助力,电动助力
前雾灯,-,-,-,-
前轮距(mm),1390,1390,1390,1390
前轮胎规格,175 R14LT,175 R14LT,175 R14LT,175 R14LT
前桥限滑差速器/差速锁,-,-,-,-
