Feature,57193,57194,57195,57401,57402,61204,61205,61700
高度(mm),1538,1538,1550,1538,1538,1538,1538,1538
驾驶辅助影像,,,,,,,,
驾驶模式切换,,,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
首任车主质保政策,-,-,-,-,-,-,-,-
面部识别,-,-,-,-,-,-,-,-
隐藏电动门把手,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-
长度(mm),4473,4473,4473,4473,4473,4473,4473,4473
长*宽*高(mm),4473*1822*1538,4473*1822*1538,4473*1822*1550,4473*1822*1538,4473*1822*1538,4473*1822*1538,4473*1822*1550,4473*1822*1538
钥匙类型,,,,,,,,
道路救援呼叫,-,-,-,-,-,-,-,-
道路交通标识识别,○,○,●,○,○,●,○,○
远程启动功能,,,,,,,,
远光灯光源,,,,,,,,
近光灯光源,,,,,,,,
运动风格座椅,●,●,●,●,●,●,●,●
运动外观套件,-,-,-,-,-,-,-,-
轴距(mm),2710,2710,2710,2710,2710,2710,2710,2710
轮圈材质,,,,,,,,
转向辅助灯,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-
车门数(个),5,5,5,5,5,5,5,5
车门开启方式,平开门,平开门,-,平开门,平开门,平开门,-,平开门
车道偏离预警系统,○,○,●,○,○,●,○,○
车道保持辅助系统,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,●,●,-
车载CD/DVD,-,-,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,
车型名称,2023款 420km 时尚版,Modern in 2023款 610km 时尚版,Modern in 2023款 610km 精英版,Modern in 2023款 420km 经典Pro版,Modern in 2023款 610km 出行Plus版,Modern in 2023款 420km 尊享版,Modern in 2023款 610km 尊享版,2023款 420km 时尚升级版
车前雾灯,-,-,-,-,-,-,-,-
车内香氛装置,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,,,-
车内化妆镜,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,●,●,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,-,-,,-,-,,,-
负离子发生器,-,-,-,-,-,-,-,-
语音识别控制系统,,,,,,,,
触摸式阅读灯,-,-,-,-,-,-,-,-
被动行人保护,-,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,,
行李厢12V电源接口,●,●,●,●,●,●,●,●
蓝牙/车载电话,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-
自动驻车,●,●,●,●,●,●,●,●
自动泊车入位,-,-,-,-,-,-,-,-
自动头灯,●,●,●,●,●,●,●,●
能量回收系统,●,●,●,●,●,●,●,●
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-
级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
