Feature,50431,55190,55191,55192,61536,61537,61538
高度(mm),1699,1670,1675,1675,1675,1670,1675
驾驶辅助影像,,,,,,,
驾驶模式切换,,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱
首任车主质保政策,-,-,-,-,-,-,-
面部识别,-,-,-,●,-,-,●
隐藏电动门把手,-,-,-,-,-,-,-
陡坡缓降,●,●,●,●,●,●,●
限滑差速器/差速锁,-,-,-,-,-,-,-
长度(mm),4859,4880,4880,4880,4880,4880,4880
长*宽*高(mm),4859*1895*1699,4880*1875*1670,4880*1875*1675,4880*1875*1675,4880*1875*1675,4880*1875*1670,4880*1875*1675
钥匙类型,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,-,-,-,-,-,-
道路交通标识识别,-,-,-,-,-,-,-
远程启动功能,-,-,-,-,-,-,-
远光灯光源,,,,,,,
进气形式,涡轮增压,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,
运动风格座椅,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-
辅助驾驶系统,-,,,,,,
辅助驾驶等级,-,,,,,,
轴距(mm),2745,2745,2745,2745,2745,2745,2745
轮圈材质,,,,,,,
转向辅助灯,-,-,-,-,-,-,-
转向头灯,●,●,●,●,●,●,●
车顶行李架,●,●,●,●,●,●,●
车门数(个),5,5,5,5,5,5,5
车门开启方式,-,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,-,●,●,●,●,●,●
车道偏离预警系统,●,●,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●,●,●
车载空气净化器,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-
车载CD/DVD,-,,-,,-,,
车身结构_y,SUV跨界车,SUV跨界车,SUV跨界车,SUV跨界车,SUV跨界车,SUV跨界车,SUV跨界车
车身结构_x,5门5座SUV跨界车,5门5座SUV跨界车,5门5座SUV跨界车,5门5座SUV跨界车,5门5座SUV跨界车,5门5座SUV跨界车,5门5座SUV跨界车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●
车联网,●,-,-,-,-,-,-
车窗防夹手功能,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,
车型名称,傲虎 2022款 2.4T Wilderness 美国版,傲虎 2022款 2.5i 探享版 EyeSight,傲虎 2022款 2.5i 运动版 EyeSight,傲虎 2022款 2.5i 旗舰版 EyeSight,2023款 2.5i AWD运动版 EyeSight,2023款 2.5i AWD探享版 EyeSight,2023款 2.5i AWD旗舰版 EyeSight
车前雾灯,,,,,,,
车内香氛装置,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-
车内化妆镜,,,,,,,
车内中控锁,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式
负离子发生器,-,-,-,-,-,-,-
语音识别控制系统,,,,,,,
触摸式阅读灯,-,-,-,-,-,-,-
被动行人保护,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,
行程(mm),-,90,90,90,90,90,90
行李厢12V电源接口,●,●,●,●,●,●,●
蓝牙/车载电话,●,●,●,●,●,●,●
自适应远近光,●,●,●,●,●,●,●
自动驻车,●,●,●,●,●,●,●
自动泊车入位,-,-,-,-,-,-,-
自动头灯,●,●,●,●,●,●,●
膝部气囊,●,●,●,●,●,●,●
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测功能,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),-,94,94,94,94,94,94
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV
简称,CVT无级变速(模拟8挡),CVT无级变速(模拟8挡),CVT无级变速(模拟8挡),CVT无级变速(模拟8挡),CVT无级变速(模拟8挡),CVT无级变速(模拟8挡),CVT无级变速(模拟8挡)
第二排独立座椅,-,-,-,-,-,-,-
第二排座椅调节,,,,,,,
第二排座椅电动调节,-,-,-,-,-,-,-
第二排座椅功能,,,,,,,
空调温度控制方式,,,,,,,
空气悬架,-,-,-,-,-,-,-
疲劳驾驶提示,-,-,-,●,-,●,●
电磁感应悬架,-,-,-,-,-,-,-
电动扰流板,-,-,-,-,-,-,-
电动座椅记忆功能,,-,-,,-,-,
电动吸合车门,-,-,-,-,-,-,-
电动后备厢位置记忆,●,●,●,●,●,●,●
电动后备厢,●,●,●,●,●,●,●
环保标准_y,-,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,-,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●
燃油标号,92号,92号,92号,92号,92号,92号,92号
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油
灯光特色功能,,,,,,,
满载最小离地间隙(mm),241,213,213,213,213,213,213
温度分区控制,●,●,●,●,●,●,●
液晶仪表尺寸,-,-,-,-,-,-,-
油箱容积(L),70,63,63,63,63,63,63
气缸数(个),4,4,4,4,4,4,4
气缸排列形式,H,H,H,H,H,H,H
每缸气门数(个),4,4,4,4,4,4,4
最高车速(km/h),-,-,-,-,-,-,-
最小转弯半径(m),-,5.5,5.5,5.5,5.5,5.5,5.5
最大马力(Ps),264,169,169,169,169,169,169
最大满载质量(kg),-,2200,2200,2200,2200,2200,2200
最大扭矩转速(rpm),2000-4800,3800,3800,3800,3800,3800,3800
最大扭矩(N·m)_y,376,252,252,252,252,252,252
最大扭矩(N·m)_x,376,252,252,252,252,252,252
最大功率转速(rpm),5600,5000-5800,5000-5800,5000-5800,5000-5800,5000-5800,5000-5800
最大功率(kW)_y,194,124,124,124,124,124,124
最大功率(kW)_x,194,124,124,124,124,124,124
最大净功率(kW),-,124,124,124,124,124,124
无钥匙进入功能,,,,,,,
无钥匙启动系统,●,●,●,●,●,●,●
方向盘记忆,-,-,-,-,-,-,-
方向盘材质,,,,,,,
方向盘换挡,●,●,●,●,●,●,●
方向盘加热,-,●,●,●,●,●,●
方向盘位置调节,,,,,,,
整车质保,三年或3.6万英里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里
整备质量(kg),1767,1671,1673,1687,1673,1681,1685
整体主动转向系统,-,-,-,-,-,-,-
排量(mL),2387,2498,2498,2498,2498,2498,2498
换挡形式,-,,,,,,
挡位个数,8,8,8,8,8,8,8
扬声器数量,,,,,,,
