Feature,53196,54117,54162,55049,55051,55052,58225,58226,58227,60057,60058,60059,60060,60061,60062
高度(mm),1420,1420,1415,1415,1415,1415,1415,1420,1420,1415,1415,1415,1420,1420,1420
驾驶辅助影像,,,,-,,,,,,-,-,-,-,-,-
驾驶模式切换,,,,,,,,,,-,-,-,-,-,-
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动电机数,-,-,-,-,-,-,单电机,单电机,单电机,-,-,单电机,-,-,单电机
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
面部识别,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
隐藏电动门把手,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4689,4689,4689,4689,4689,4689,4689,4689,4689,4563,4563,4563,4563,4563,4563
长*宽*高(mm),4689*1802*1420,4689*1802*1420,4689*1802*1415,4689*1802*1415,4689*1802*1415,4689*1802*1415,4689*1802*1415,4689*1802*1420,4689*1802*1420,4563*1802*1415,4563*1802*1415,4563*1802*1415,4563*1802*1420,4563*1802*1420,4563*1802*1420
钥匙类型,,,,,,,,,,-,-,-,-,-,-
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,-,●,●,●,●,●,-,-,-,-,-,-
道路交通标识识别,●,●,●,-,●,●,●,●,●,-,-,-,-,-,-
远程启动功能,,,,-,,,,,,-,-,-,-,-,-
远光灯光源,,,,,,,,,,-,-,-,-,-,-
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,自然吸气,涡轮增压,涡轮增压,自然吸气
近光灯光源,,,,,,,,,,-,-,-,-,-,-
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,●,-,-,-,●,-,-,●,●,-,-,-,-,-,-
辅助驾驶系统,,,,-,,,-,,,-,-,-,-,-,-
辅助驾驶等级,,,,-,,,-,,,-,-,-,-,-,-
轴距(mm),2735,2735,2735,2735,2735,2735,2735,2735,2735,2735,2735,2735,2735,2735,2735
轮圈材质,,,,,,,,,,-,-,-,-,-,-
转向辅助灯,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),4,4,4,4,4,4,4,4,4,5,5,5,5,5,5
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,-,●,●,●,●,●,-,-,-,-,-,-
车道偏离预警系统,●,●,●,-,●,●,●,●,●,-,-,-,-,-,-
车道保持辅助系统,●,●,●,-,●,●,●,●,●,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载智能系统,,,,-,,,,,,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,-,-,-,-,-,-
车联网,●,●,●,-,●,●,●,●,●,-,-,-,-,-,-
车窗防夹手功能,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-
车窗一键升降功能,,,,,,,,,,-,-,-,-,-,-
车型名称,型格 2022款 240TURBO CVT幻夜·豪华版,型格 2022款 240TURBO CVT尊享版,型格 2022款 240TURBO CVT科技版,型格 2022款 240TURBO 手动专属版,型格 2022款 240TURBO CVT幻夜·科技版,型格 2022款 240TURBO CVT豪华版,2023款 2.0L e:HEV 锐·科技版,2023款 2.0L e:HEV 锐·豪华版,2023款 2.0L e:HEV 锐·尊享版,型格 2023款 HATCHBACK 240TURBO CVT低配版,型格 2023款 HATCHBACK 240TURBO 手动基本型,型格 2023款 HATCHBACK 2.0L e:HEV 低配版,型格 2023款 HATCHBACK 240TURBO CVT中配版,型格 2023款 HATCHBACK 240TURBO CVT高配版,型格 2023款 HATCHBACK 2.0L e:HEV 高配版
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内香氛装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,,,-,-,-,,-,,,-,-,-,-,-,-
