Feature,28580,28943,28944,28945,28946,28947,38058,38059,38061,38062
高度(mm),1540,1540,1530,1530,1530,1530,1530,1530,1530,1540
驻车制动类型,脚刹,脚刹,脚刹,脚刹,脚刹,脚刹,脚刹,脚刹,脚刹,脚刹
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
零胎压继续行驶,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-
防紫外线玻璃,-,-,-,-,-,-,-,-,-,-
长度(mm),4667,4667,4667,4667,4667,4667,4667,4667,4667,4667
长*宽*高(mm),4667*1775*1540,4667*1775*1540,4667*1775*1530,4667*1775*1530,4667*1775*1530,4667*1775*1530,4667*1775*1530,4667*1775*1530,4667*1775*1530,4667*1775*1540
铝合金轮圈,●,●,●,●,●,●,●,●,●,●
配气机构,DOHC,DOHC,DOHC,SOHC,SOHC,SOHC,SOHC,SOHC,DOHC,DOHC
遮阳板化妆镜,●,●,●,●,●,●,●,●,●,●
遥控钥匙,●,●,●,●,●,●,●,●,●,●
道路救援呼叫,-,-,-,-,-,-,-,-,-,-
远程启动,-,-,-,-,-,-,-,-,-,-
远光灯,LED,LED,卤素,卤素,卤素,卤素,卤素,卤素,LED,LED
进气形式,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压
近光灯,LED,LED,卤素,卤素,卤素,卤素,卤素,卤素,卤素,LED
运动风格座椅,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-
轴距(mm),2760,2760,2760,2760,2760,2760,2760,2760,2760,2760
转向辅助灯,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-
车门数(个),5,5,5,5,5,5,5,5,5,5
车道偏离预警系统,●,-,-,-,-,-,-,-,-,●
车载空气净化器,-,-,-,-,-,-,-,-,-,-
车载电视,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-
车身结构_y,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车
车身结构_x,5门6座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门6座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,-,●,●,-,●,●,●
车联网,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●
车窗一键升降,-,-,-,-,-,-,-,-,-,-
车型名称,杰德 2017款 210TURBO CVT豪华版 6座,杰德 2017款 210TURBO CVT豪华版 5座,杰德 2017款 210TURBO CVT风尚版 5座,杰德 2017款 1.8L 自动经典版 5座,杰德 2017款 1.8L 自动舒适版 5座,杰德 2017款 1.8L 自动舒适版 6座,杰德 2020款 1.8L 自动经典版,杰德 2020款 1.8L 自动舒适版,杰德 2020款 210TURBO CVT风尚版,杰德 2020款 210TURBO CVT豪华版
车内空气调节/花粉过滤,-,-,-,-,-,-,-,-,-,-
车内氛围灯,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
行车电脑显示屏,●,●,●,●,●,●,●,●,●,●
行程(mm),89.5,89.5,89.5,87.3,87.3,87.3,87.3,87.3,89.5,89.5
行李厢容积(L),-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,●,-,-,-,-,-,-,-,●
自适应远近光,-,-,-,-,-,-,-,-,-,-
自适应巡航,●,-,-,-,-,-,-,-,-,●
自动驻车,-,-,-,-,-,-,-,-,-,-
自动泊车入位,-,-,-,-,-,-,-,-,-,-
自动头灯,●,●,-,-,-,-,-,-,●,●
膝部气囊,-,-,-,-,-,-,-,-,-,-
腰部支撑调节,-,-,-,-,-,-,-,-,-,-
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测装置,●,●,●,-,●,●,-,●,●,●
肩部支撑调节,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),73,73,73,81,81,81,81,81,73,73
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车
简称,CVT无级变速,CVT无级变速,CVT无级变速,5挡自动,5挡自动,5挡自动,5挡自动,5挡自动,CVT无级变速,CVT无级变速
第二排靠背角度调节,●,-,-,-,-,●,-,-,-,-
第二排独立座椅,●,-,-,-,-,●,-,-,-,-
第二排座椅移动,●,-,-,-,-,●,-,-,-,-
第三排座椅,2座,-,-,-,-,2座,-,-,-,-
空调控制方式,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●
空气悬架,-,-,-,-,-,-,-,-,-,-
皮质方向盘,●,●,-,-,-,-,-,-,-,●
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-
电磁感应悬架,-,-,-,-,-,-,-,-,-,-
电动座椅记忆,-,-,-,-,-,-,-,-,-,-
电动天窗,●,●,●,-,●,●,●,●,●,●
电动吸合门,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-
环保标准,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V
牵引力控制(ASR/TCS/TRC等),●,●,●,-,●,●,-,●,●,●
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
温度分区控制,-,-,-,-,-,-,-,-,-,-
流媒体车内后视镜,-,-,-,-,-,-,-,-,-,-
油箱容积(L),50,50,50,50,50,50,50,50,50,50
气缸数(个),4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4
最高车速(km/h),187,187,187,187,187,187,187,187,187,187
最小离地间隙(mm),-,-,-,-,-,-,-,-,-,-
最大马力(Ps),156,156,156,141,141,141,141,141,156,156
最大扭矩转速(rpm),1600-5000,1600-5000,1600-5000,4300,4300,4300,4300,4300,1600-5000,1600-5000
最大扭矩(N·m)_y,203,203,203,174,174,174,174,174,203,203
最大扭矩(N·m)_x,203,203,203,174,174,174,174,174,203,203
最大功率转速(rpm),5500,5500,5500,6500,6500,6500,6500,6500,5500,5500
最大功率(kW)_y,115,115,115,104,104,104,104,104,115,115
最大功率(kW)_x,115,115,115,104,104,104,104,104,115,115
无钥匙进入系统,●,●,●,-,●,●,-,●,●,●
无钥匙启动系统,●,●,●,-,●,●,-,●,●,●
方向盘调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节
方向盘记忆,-,-,-,-,-,-,-,-,-,-
方向盘电动调节,-,-,-,-,-,-,-,-,-,-
方向盘换挡,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-
整车质保,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里
整备质量(kg),1557,1497,1485,1409,1420,1468,1409,1420,1485,1497
整体主动转向系统,-,-,-,-,-,-,-,-,-,-
排量(mL),1498,1498,1498,1798,1798,1798,1798,1798,1498,1498
挡位个数,无级变速,无级变速,无级变速,5,5,5,5,5,无级变速,无级变速
扬声器品牌,-,-,-,-,-,-,-,-,-,-
扬声器个数,8-9喇叭,6-7喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,4-5喇叭,6-7喇叭
手机无线充电,-,-,-,-,-,-,-,-,-,-
手机互联/映射功能,●,●,-,-,-,-,-,-,-,●
感应雨刷,-,-,-,-,-,-,-,-,-,-
感应后备厢,-,-,-,-,-,-,-,-,-,-
座椅高低调节,●,●,●,●,●,●,●,●,●,●
座椅材料,真皮,真皮,皮/织物混搭,织物,皮/织物混搭,皮/织物混搭,织物,皮/织物混搭,皮/织物混搭,真皮
座位数(个),6,5,5,5,5,6,5,5,5,5
并线辅助,●,●,-,-,-,-,-,-,-,●
工信部综合油耗(L/100km),6.4,6.4,6.3,6.9,6.9,7.1,6.9,6.9,6.3,6.4
导航路况信息显示,-,-,-,-,-,-,-,-,-,-
宽度(mm),1775,1775,1775,1775,1775,1775,1775,1775,1775,1775
实测油耗(L/100km),-,7.7,-,-,-,-,-,-,-,-
实测100-0km/h制动(m),-,39.36,-,-,-,-,-,-,-,-
实测0-100km/h加速(s),-,9.02,-,-,-,-,-,-,-,-
定速巡航,●,●,●,-,-,-,-,-,●,●
官方0-100km/h加速(s),10.5,10.5,10.5,13.6,13.9,13.9,13.6,13.9,10.5,10.5
安全带未系提示,●,●,●,●,●,●,●,●,●,●
大灯高度可调,●,●,●,●,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-,-,-,-,-
夜视系统,-,-,-,-,-,-,-,-,-,-
多天窗,-,-,-,-,-,-,-,-,-,-
多功能方向盘,●,●,●,●,●,●,●,●,●,●
外接音源接口,USB+HDMI,USB+HDMI,USB,USB,USB,USB,USB,USB,USB,USB+HDMI
备胎规格,无,非全尺寸,非全尺寸,非全尺寸,非全尺寸,无,非全尺寸,非全尺寸,非全尺寸,非全尺寸
后风挡遮阳帘,-,-,-,-,-,-,-,-,-,-
后雨刷,●,●,●,●,●,●,●,●,●,●
后轮距(mm),1539,1539,1541,1541,1541,1541,1541,1541,1541,1539
后轮胎规格,225/45 R18,225/45 R18,215/50 R17,215/50 R17,215/50 R17,215/50 R17,215/50 R17,215/50 R17,215/50 R17,225/45 R18
后视镜记忆,-,-,-,-,-,-,-,-,-,-
后视镜电动调节,●,●,●,●,●,●,●,●,●,●
后视镜电动折叠,-,-,-,-,-,-,-,-,-,-
后视镜加热,-,-,-,-,-,-,-,-,-,-
后桥限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-
后排独立空调,-,-,-,-,-,-,-,-,-,-
后排液晶屏,-,-,-,-,-,-,-,-,-,-
后排杯架,●,●,●,-,●,●,-,●,●,●
后排座椅电动调节,-,-,-,-,-,-,-,-,-,-
后排座椅放倒方式,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒
后排侧隐私玻璃,●,●,●,●,●,●,●,●,●,●
后排侧遮阳帘,-,-,-,-,-,-,-,-,-,-
后悬架类型,双横臂式独立悬架,双横臂式独立悬架,双横臂式独立悬架,双横臂式独立悬架,双横臂式独立悬架,双横臂式独立悬架,双横臂式独立悬架,双横臂式独立悬架,双横臂式独立悬架,双横臂式独立悬架
后座出风口,●,●,●,●,●,●,●,●,●,●
后制动器类型,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式
可变转向比,-,-,-,-,-,-,-,-,-,-
可变悬架,-,-,-,-,-,-,-,-,-,-
可加热/制冷杯架,-,-,-,-,-,-,-,-,-,-
变速箱类型,无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),自动变速箱(AT),无级变速箱(CVT),无级变速箱(CVT)
变速箱,CVT无级变速,CVT无级变速,CVT无级变速,5挡自动,5挡自动,5挡自动,5挡自动,5挡自动,CVT无级变速,CVT无级变速
发动机电子防盗,●,●,●,●,●,●,●,●,●,●
发动机特有技术,-,-,-,i-VTEC,i-VTEC,i-VTEC,i-VTEC,i-VTEC,-,-
发动机型号,L15BF,L15BF,L15BF,R18Z6,R18Z6,R18Z6,R18Z6,R18Z6,L15BF,L15BF
发动机启停技术,-,-,-,-,-,-,-,-,-,-
