Feature,28917,28918,28919,28920,28921,28922,29851,31678,39570,40020,40021,40022,40023,40024,40025,40026,40027,40028,40029,40031
高度(mm),1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置四驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
零胎压继续行驶,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
防紫外线玻璃,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
长度(mm),4294,4294,4294,4294,4294,4294,4294,4294,4340,4328,4328,4340,4340,4340,4340,4328,4328,4340,4340,4340
长*宽*高(mm),4294*1772*1605,4294*1772*1605,4294*1772*1605,4294*1772*1605,4294*1772*1605,4294*1772*1605,4294*1772*1605,4294*1772*1605,4340*1790*1605,4328*1772*1605,4328*1772*1605,4340*1790*1605,4340*1790*1605,4340*1790*1605,4340*1790*1605,4328*1772*1605,4328*1772*1605,4340*1790*1605,4340*1790*1605,4340*1790*1605
铝合金轮圈,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
配气机构,DOHC,DOHC,SOHC,SOHC,SOHC,SOHC,SOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
遮阳板化妆镜,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
遥控钥匙,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
道路救援呼叫,-,-,-,-,-,-,-,-,●,-,-,-,-,-,-,-,-,-,-,●
远程启动,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,LED,卤素,卤素,卤素,卤素,LED,LED,卤素,卤素,LED,LED,LED
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯,卤素,卤素,卤素,LED,LED,LED,LED,LED,LED,卤素,卤素,卤素,卤素,LED,LED,卤素,卤素,LED,LED,LED
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
