Feature,61049,61132,61133,61134,61135
高精地图,●,●,●,●,●
高度(mm),1560,1560,1560,1560,1548
驾驶辅助影像,,,,,
驾驶模式切换,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动电机数,单电机,单电机,双电机,双电机,双电机
驱动方式,后置后驱,后置后驱,双电机四驱,双电机四驱,双电机四驱
面部识别,●,●,●,●,●
隐藏电动门把手,●,●,●,●,●
陡坡缓降,●,●,●,●,●
限滑差速器/差速锁,-,-,-,-,-
长度(mm),4970,4970,4970,4970,4970
长*宽*高(mm),4970*1999*1560,4970*1999*1560,4970*1999*1560,4970*1999*1560,4970*1999*1548
钥匙类型,,,,,
遥控泊车,●,●,●,●,●
道路救援呼叫,●,●,●,●,●
道路交通标识识别,○,○,○,○,○
透明底盘/540度影像,●,●,●,●,●
远程启动功能,,,,,
远光灯光源,,,,,
近光灯光源,,,,,
运动风格座椅,-,-,-,-,○
运动外观套件,-,-,-,-,-
辅助驾驶芯片,,,,,
辅助驾驶系统,,,,,
辅助驾驶等级,,,,,
轴距(mm),3005,3005,3005,3005,3005
轮圈材质,,,,,
转向辅助灯,-,-,-,-,-
转向头灯,-,-,-,-,-
车顶行李架,-,-,-,-,-
车门数(个),5,5,5,5,5
车门开启方式,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,●,●
车道偏离预警系统,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●
车载空气净化器,-,-,-,-,-
车载智能系统,,,,,
车载冰箱,-,-,-,-,-
车载CD/DVD,-,-,-,-,-
车身结构_y,掀背车,掀背车,掀背车,掀背车,掀背车
车身结构_x,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●
车联网,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●
车窗一键升降功能,,,,,
车机智能芯片,,,,,
车型名称,2023款 WE版 140kWh 千里续航套装,2023款 WE版 100kWh,2023款 WE版 86kWh,2023款 ME版 100kWh,2023款 YOU版 100kWh
车前雾灯,-,-,-,-,-
车内香氛装置,●,●,●,●,●
车内环境氛围灯,,,,,
车内化妆镜,,,,,
车内中控锁,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,
负离子发生器,-,-,-,-,-
语音识别控制系统,,,,,
触摸式阅读灯,-,-,-,-,-
被动行人保护,-,-,-,-,-
行车电脑显示屏幕,,,,,
行李厢12V电源接口,●,●,●,●,●
蓝牙/车载电话,●,●,●,●,●
芯片总算力,,,,,
自适应远近光,●,●,●,●,●
自动驻车,●,●,●,●,●
自动泊车入位,○,○,○,○,○
自动开合车门,○,○,○,○,●
自动头灯,●,●,●,●,●
自动变道辅助,●,●,●,●,●
膝部气囊,-,-,-,-,-
能量回收系统,●,●,●,●,●
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,,,,,
缺气保用轮胎,○,○,○,○,○
级别,中大型车,中大型车,中大型车,中大型车,中大型车
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排独立座椅,-,-,-,-,-
第二排座椅调节,,,,,
第二排座椅电动调节,●,●,●,●,●
第二排座椅功能,,,,,
空载最小离地间隙(mm),174,174,174,174,162
空调温度控制方式,,,,,
空气悬架,-,○,○,○,●
离去角(°),20,20,20,20,21.5
百公里耗电量(kWh/100km),14.9,14.7,17.4,17.5,16.5
疲劳驾驶提示,●,●,●,●,●
电芯品牌,宁德时代,宁德时代,威睿电动,宁德时代,宁德时代
电能当量燃料消耗量(L/100km),1.69,1.66,1.97,1.98,1.87
