Feature,1006662,1006663,1006664,1006665,1006666,1006667,1006668,1006669,1006706,1006707,1006708,1006709,1006710,1006711,1006712,1006713,1007401,1007402,1007406,1007407,1007408,1007409,1007410,1007411,1007412,1007413,1007414,1007415,1007416,1007417,1007418,1007419,1007420,1007421,1007422,1007423,1007424,1007425,1008778,1008779,1009464,1009465,1009468,1009469,1009470,1009471,1009472,1009473,1009474,1009475,1009476,1009477,1010286,1010287,1010288,1010289,1010290,1010291,1010292,1010294,1010300,1010301,1010302,1010303,1010304,1010305,1010306,1010307,1010312,1010313,1010314,1010315,1011226,1011227,1011228,1011229,1011230,1011231,1011232,1011233,1011234,1011235,1011236,1011237,1011238,1011239,1011240,1011241,1012636,1012640,1012641,1012642,1012643,1012644,1012645,1012646,1013405,1013406,1013407,1013408,1013409,1013410,1013411,1013412
高度(mm),1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830
驾驶辅助影像,-,-,,,-,-,,,,,,,-,-,-,-,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,,,,,,,,,,,,,-,-,-,-,,,,,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
驱动方式,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,-,-,,,,,-,-,,,-,-,-,-,-,-,,,,,,,,,-,-,-,-,,,-,-,-,-,-,-,-,-,,,,,-,-,,,-,-,,,-,-,,,-,-,,-,-,,,,-,-,,,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,-,-,,,-,-,,,-,-
长度(mm),5325,5615,5325,5615,5325,5615,5325,5615,5325,5615,5325,5615,5325,5615,5325,5615,5325,5615,5355,5355,5645,5645,5325,5615,5325,5615,5325,5615,5325,5615,5325,5615,5325,5615,5325,5615,5325,5615,5355,5645,5325,5615,5325,5615,5325,5615,5325,5615,5325,5615,5325,5615,5325,5615,5325,5615,5615,5325,5615,5325,5325,5615,5325,5615,5325,5615,5325,5615,5325,5615,5325,5615,5325,5615,5325,5615,5325,5615,5325,5615,5355,5645,5355,5645,5355,5645,5355,5645,5355,5645,5355,5645,5355,5645,5355,5645,5325,5615,5325,5615,5325,5615,5325,5615
长*宽*高(mm),5325×1880×1830,5615×1880×1830,5325×1880×1830,5615×1880×1830,5325×1880×1830,5615×1880×1830,5325×1880×1830,5615×1880×1830,5325×1880×1830,5615×1880×1830,5325×1880×1830,5615×1880×1830,5325×1880×1830,5615×1880×1830,5325×1880×1830,5615×1880×1830,5325×1880×1830,5615×1880×1830,5355×1880×1830,5355×1880×1830,5645×1880×1830,5645×1880×1830,5325×1880×1830,5615×1880×1830,5325×1880×1830,5615×1880×1830,5325×1880×1830,5615×1880×1830,5325×1880×1830,5615×1880×1830,5325×1880×1830,5615×1880×1830,5325×1880×1830,5615×1880×1830,5325×1880×1830,5615×1880×1830,5325×1880×1830,5615×1880×1830,5355×1880×1830,5645×1880×1830,5325×1880×1830,5615×1880×1830,5325×1880×1830,5615×1880×1830,5325×1880×1830,5615×1880×1830,5325×1880×1830,5615×1880×1830,5325×1880×1830,5615×1880×1830,5325×1880×1830,5615×1880×1830,5325×1880×1830,5615×1880×1830,5325×1880×1830,5615×1880×1830,5615×1880×1830,5325×1880×1830,5615×1880×1830,5325×1880×1830,5325×1880×1830,5615×1880×1830,5325×1880×1830,5615×1880×1830,5325×1880×1830,5615×1880×1830,5325×1880×1830,5615×1880×1830,5325×1880×1830,5615×1880×1830,5325×1880×1830,5615×1880×1830,5325×1880×1830,5615×1880×1830,5325×1880×1830,5615×1880×1830,5325×1880×1830,5615×1880×1830,5325×1880×1830,5615×1880×1830,5355×1880×1830,5645×1880×1830,5355×1880×1830,5645×1880×1830,5355×1880×1830,5645×1880×1830,5355×1880×1830,5645×1880×1830,5355×1880×1830,5645×1880×1830,5355×1880×1830,5645×1880×1830,5355×1880×1830,5645×1880×1830,5355×1880×1830,5645×1880×1830,5325×1880×1830,5615×1880×1830,5325×1880×1830,5615×1880×1830,5325×1880×1830,5615×1880×1830,5325×1880×1830,5615×1880×1830
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),3090,3380,3090,3380,3090,3380,3090,3380,3090,3380,3090,3380,3090,3380,3090,3380,3090,3380,3090,3090,3380,3380,3090,3380,3090,3380,3090,3380,3090,3380,3090,3380,3090,3380,3090,3380,3090,3380,3090,3380,3090,3380,3090,3380,3090,3380,3090,3380,3090,3380,3090,3380,3090,3380,3090,3380,3380,3090,3380,3090,3090,3380,3090,3380,3090,3380,3090,3380,3090,3380,3090,3380,3090,3380,3090,3380,3090,3380,3090,3380,3090,3380,3090,3380,3090,3380,3090,3380,3090,3380,3090,3380,3090,3380,3090,3380,3090,3090,3090,3090,3090,3090,3090,3090
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
