Feature,32088,32089,33059,33060,33061,33062,36934,36935,36936,36937,36938,36939
高度(mm),1970,1970,1970,1970,1970,1970,1970,1970,1970,1970,1970,1970
驻车制动类型,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹
驱动方式,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱
零胎压继续行驶,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-
防紫外线玻璃,●,●,●,●,●,●,●,●,●,●,●,●
长度(mm),5100,5100,5100,5100,5100,5100,5100,5100,5100,5100,5100,5100
长*宽*高(mm),5100*1840*1970,5100*1840*1970,5100*1840*1970,5100*1840*1970,5100*1840*1970,5100*1840*1970,5100*1840*1970,5100*1840*1970,5100*1840*1970,5100*1840*1970,5100*1840*1970,5100*1840*1970
铝合金轮圈,●,●,●,●,●,●,●,●,●,●,●,●
配气机构,未知,未知,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,未知,未知
遮阳板化妆镜,●,●,●,●,●,●,●,●,●,●,●,●
遥控钥匙,●,●,●,●,●,●,●,●,●,●,●,●
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-
远程启动,-,-,-,-,-,-,-,-,-,-,-,-
远光灯,卤素,氙气,卤素,氙气,卤素,氙气,卤素,氙气,卤素,氙气,卤素,氙气
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯,卤素,氙气,卤素,氙气,卤素,氙气,卤素,氙气,卤素,氙气,卤素,氙气
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),3080,3080,3080,3080,3080,3080,3080,3080,3080,3080,3080,3080
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),5,5,5,5,5,5,5,5,5,5,5,5
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-
车载电视,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV
车身结构_x,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-
车联网,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-
车窗一键升降,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,瑞风M5 2017款 1.9T 柴油手动商务版,瑞风M5 2017款 1.9T 柴油手动公务版,瑞风M5 2017款 2.0T 汽油手动商务版,瑞风M5 2017款 2.0T 汽油手动公务版,瑞风M5 2017款 2.0T 汽油双离合商务版,瑞风M5 2017款 2.0T 汽油双离合公务版,瑞风M5 2019款 2.0T 汽油手动商务版,瑞风M5 2019款 2.0T 汽油手动公务版,瑞风M5 2019款 2.0T 汽油双离合商务版,瑞风M5 2019款 2.0T 汽油双离合公务版,瑞风M5 2019款 1.9T 柴油手动商务版,瑞风M5 2019款 1.9T 柴油手动公务版
车内空气调节/花粉过滤,●,●,●,●,●,●,●,●,●,●,●,●
车内氛围灯,-,-,-,-,-,-,●,●,●,●,●,●
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
行车电脑显示屏,●,●,●,●,●,●,●,●,●,●,●,●
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-
行李厢容积(L),-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-
自适应巡航,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-
自动泊车入位,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-
膝部气囊,-,-,-,-,-,-,-,-,-,-,-,-
腰部支撑调节,-,●,-,●,-,●,-,●,-,●,-,●
能源类型,柴油,柴油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,柴油,柴油
胎压监测装置,●,●,●,●,●,●,●,●,●,●,●,●
肩部支撑调节,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),-,-,-,-,-,-,-,-,-,-,-,-
缸体材料,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁
级别,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV
简称,6挡手动,6挡手动,6挡手动,6挡手动,6挡双离合,6挡双离合,6挡手动,6挡手动,6挡双离合,6挡双离合,6挡手动,6挡手动
第二排靠背角度调节,●,●,●,●,●,●,●,●,●,●,●,●
第二排独立座椅,●,●,●,●,●,●,●,●,●,●,●,●
第二排座椅移动,●,●,●,●,●,●,●,●,●,●,●,●
第三排座椅,3座,3座,3座,3座,3座,3座,3座,3座,3座,3座,3座,3座
空调控制方式,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●,自动●
空气悬架,-,-,-,-,-,-,-,-,-,-,-,-
皮质方向盘,●,●,●,●,●,●,●,●,●,●,●,●
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-
电磁感应悬架,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆,-,-,-,-,-,-,-,-,-,-,-,-
电动天窗,●,●,●,●,●,●,●,●,●,●,●,●
电动吸合门,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-
环保标准,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-,-,-,-,-,-,-
燃油标号,0号,0号,92号,92号,92号,92号,92号,92号,92号,92号,0号,0号
燃料形式,柴油,柴油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,柴油,柴油
温度分区控制,●,●,●,●,●,●,●,●,●,●,●,●
流媒体车内后视镜,-,-,-,-,-,-,-,-,-,-,-,-
油箱容积(L),80,80,80,80,80,80,75,75,75,75,75,75
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),160,160,165,165,165,-,165,165,165,165,160,160
最小离地间隙(mm),160,160,160,160,160,160,160,160,160,160,160,160
最大马力(Ps),139,139,190,190,190,190,190,190,190,190,139,139
最大扭矩转速(rpm),2000-2800,2000-2800,1800-4000,1800-4000,1800-4000,1800-4000,1800-4000,1800-4000,1800-4000,1800-4000,2000-2800,2000-2800
最大扭矩(N·m)_y,310,310,290,290,290,290,290,290,290,290,310,310
最大扭矩(N·m)_x,310,310,290,290,290,290,290,290,290,290,310,310
