Feature,50808,51601,51602,55431,55432,55433
高度(mm),1658,1658,1658,1658,1658,1658
驾驶辅助影像,,,,,,
驾驶模式切换,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动电机数,-,-,-,-,-,-
驱动方式,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱
面部识别,-,-,-,-,-,-
隐藏电动门把手,-,-,-,-,-,-
陡坡缓降,●,●,●,●,●,●
限滑差速器/差速锁,-,-,-,-,-,-
长度(mm),4708,4708,4708,4708,4708,4708
长*宽*高(mm),4708*1902*1658,4708*1902*1658,4708*1902*1658,4708*1902*1658,4708*1915*1658,4708*1902*1658
钥匙类型,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●,●,●
道路交通标识识别,●,●,●,●,●,●
远程启动功能,-,-,-,-,-,-
远光灯光源,,,,,,
进气形式,机械+涡轮增压,机械+涡轮增压,机械+涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,
运动风格座椅,○,●,-,-,●,○
运动外观套件,-,●,-,-,●,-
辅助驾驶芯片,-,-,-,-,-,-
轴距(mm),2865,2865,2865,2865,2865,2865
轮圈材质,,,,,,
转向辅助灯,-,-,-,-,-,-
转向头灯,●,-,-,-,-,●
车顶行李架,●,●,●,●,●,●
车门数(个),5,5,5,5,5,5
车道偏离预警系统,●,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●,●
车载空气净化器,●,●,●,●,●,●
车载电视,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●
车联网,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●
车窗一键升降功能,,,,,,
车型名称,沃尔沃XC60新能源 2022款 T8 插电混动 四驱智雅豪华版,沃尔沃XC60新能源 2022款 T8 插电混动 四驱智远运动版,沃尔沃XC60新能源 2022款 T8 插电混动 四驱智远豪华版,沃尔沃XC60新能源 2022款 改款 T8 插电混动 四驱智远豪华版,沃尔沃XC60新能源 2022款 改款 T8 插电混动 四驱智远运动版,沃尔沃XC60新能源 2022款 改款 T8 插电混动 四驱智雅豪华版
车前雾灯,-,-,-,-,-,-
车内香氛装置,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-
车内化妆镜,,,,,,
车内中控锁,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●
车侧脚踏板,-,-,-,,,
车体结构,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,-,-,-,-,-,-
负离子发生器,●,●,●,●,●,●
语音识别控制系统,,,,,,
触摸式阅读灯,●,●,●,●,●,●
被动行人保护,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,
行程(mm),-,-,-,-,-,-
行李厢容积(L),468-1395,468-1395,468-1395,468-1395,468-1395,468-1395
行李厢12V电源接口,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,●,●
芯片总算力,-,-,-,-,-,-
自适应远近光,●,-,-,-,-,●
自动驻车,●,●,●,●,●,●
自动泊车入位,-,-,-,-,-,-
自动头灯,●,●,●,●,●,●
膝部气囊,●,●,●,●,●,●
能源类型,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
胎压监测功能,,,,,,
缺气保用轮胎,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
