Feature,38001
高度(mm),1206
驻车制动类型,电子驻车
驱动方式,中置后驱
长度(mm),4611
长*宽*高(mm),4611*1979*1206
配气机构,DOHC
进气形式,双涡轮增压
轴距(mm),2650
车门数(个),2
车身结构_y,硬顶跑车
车身结构_x,2门2座硬顶跑车
车型名称,F8 Tributo 2019款 3.9T V8
车体结构,承载式
行程(mm),-
行李厢容积(L),200
能源类型,汽油
缸盖材料,铝合金
缸径(mm),-
缸体材料,铝合金
级别,跑车
简称,7挡双离合
环保标准_y,国V
环保标准_x,国V
燃油标号,98号
燃料形式,汽油
油箱容积(L),78
气缸数(个),8
气缸排列形式,V
每缸气门数(个),4
最高车速(km/h),340
最小离地间隙(mm),-
最大马力(Ps),720
最大扭矩转速(rpm),3250
最大扭矩(N·m)_y,770
最大扭矩(N·m)_x,770
最大功率转速(rpm),7000
最大功率(kW)_y,530
最大功率(kW)_x,530
整车质保,三年不限公里
整备质量(kg),1435
排量(mL),3902
挡位个数,7
座位数(个),2
工信部综合油耗(L/100km),-
宽度(mm),1979
实测油耗(L/100km),-
实测100-0km/h制动(m),-
实测0-100km/h加速(s),-
官方0-100km/h加速(s),2.9
备胎规格,无
后轮距(mm),1646
后轮胎规格,305/30 R20
后悬架类型,多连杆式独立悬架
后制动器类型,陶瓷通风盘式
变速箱类型,双离合变速箱(DCT)
变速箱,7挡双离合
发动机特有技术,-
发动机型号,-
发动机,3.9T 720马力 V8
压缩比,9.6
厂商指导价(元),298.80万
厂商,法拉利
助力类型,电子液压助力
前轮距(mm),1677
前轮胎规格,245/35 R20
前悬架类型,双叉骨悬架
前制动器类型,陶瓷通风盘式
供油方式,直喷
上市时间,2019.04
