Feature,37041,38152,38364,38731,38732,38733,38734,38735,39485,39486,39487,39488,39489,39490,39491,39492
高度(mm),1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置前驱,前置四驱,前置前驱,前置前驱,前置前驱,前置四驱,前置四驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置四驱,前置四驱,前置前驱,前置四驱
零胎压继续行驶,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
防紫外线玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4930,4930,4930,4930,4930,4930,4930,4930,4930,4930,4930,4930,4930,4930,4930,4930
长*宽*高(mm),4930*1910*1720,4930*1910*1720,4930*1910*1720,4930*1910*1720,4930*1910*1720,4930*1910*1720,4930*1910*1720,4930*1910*1720,4930*1910*1720,4930*1910*1720,4930*1910*1720,4930*1910*1720,4930*1910*1720,4930*1910*1720,4930*1910*1720,4930*1910*1720
铝合金轮圈,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
遮阳板化妆镜,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
遥控钥匙,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
道路救援呼叫,●,●,-,●,●,●,●,●,-,●,●,●,●,●,●,●
远程启动,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯,LED,LED,卤素,LED,LED,LED,LED,LED,卤素,LED,LED,LED,LED,LED,LED,LED
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯,LED,LED,卤素,LED,LED,LED,LED,LED,卤素,LED,LED,LED,LED,LED,LED,LED
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,●,●,-,●,●,●,●,●,-,●,●,●,●,●,●,●
车门数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
车道偏离预警系统,○,●,-,●,●,●,●,●,-,○,●,●,●,●,●,●
车载空气净化器,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车载电视,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门6座SUV,5门6座SUV,5门6座SUV,5门6座SUV,5门6座SUV,5门6座SUV,5门6座SUV,5门6座SUV,5门6座SUV,5门6座SUV,5门6座SUV,5门6座SUV,5门6座SUV,5门6座SUV,5门6座SUV,5门6座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,-,●,●,●,●,●,-,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降,全车,全车,主驾驶位,全车,全车,全车,全车,全车,主驾驶位,全车,全车,全车,全车,全车,全车,全车
车型名称,胜达 2019款 380 TGDi GLS 自动两驱豪华版 国VI,胜达 2019款 380 TGDi TOP 自动四驱旗舰（HTRAC） 国VI,胜达 2019款 380 TGDi GL 自动两驱精英版 国VI,胜达 2019款 380 TGDi DLX 自动两驱智尊版 国VI,胜达 2019款 380 TGDi DLX 自动两驱智尊版PLUS 国VI,胜达 2019款 380 TGDi DLX 自动四驱智尊PLUS（HTRAC） 国VI,胜达 2019款 380 TGDi DLX 自动四驱智尊（HTRAC） 国VI,胜达 2019款 380 TGDi TOP 自动两驱旗舰版 国VI,胜达 2019款 380 TGDi GL 自动两驱精英版 国V,胜达 2019款 380 TGDi GLS 自动两驱豪华版 国V,胜达 2019款 380 TGDi DLX 自动两驱智尊版 国V,胜达 2019款 380 TGDi DLX 自动两驱智尊版PLUS 国V,胜达 2019款 380 TGDi DLX 自动四驱智尊（HTRAC） 国V,胜达 2019款 380 TGDi DLX 自动四驱智尊PLUS（HTRAC） 国V,胜达 2019款 380 TGDi TOP 自动两驱旗舰版 国V,胜达 2019款 380 TGDi TOP 自动四驱旗舰（HTRAC） 国V
车内空气调节/花粉过滤,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
行车电脑显示屏,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行李厢容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,○,●,-,●,●,●,●,●,-,○,●,●,●,●,●,●
自适应巡航,○,●,-,●,●,●,●,●,-,○,●,●,●,●,●,●
自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自动泊车入位,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
膝部气囊,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
腰部支撑调节,●,●,-,●,●,●,●,●,-,●,●,●,●,●,●,●
