Feature,59219,59698
高精地图,●,●
高度(mm),1800,1800
驾驶辅助影像,,
驾驶模式切换,,
驻车制动类型,电子驻车,电子驻车
驱动电机数,双电机,双电机
驱动方式,双电机四驱,双电机四驱
风阻系数(Cd),0.297,0.297
面部识别,-,-
隐藏电动门把手,●,●
陡坡缓降,●,●
限滑差速器/差速锁,-,-
长度(mm),5080,5080
长*宽*高(mm),5080*1995*1800,5080*1995*1800
钥匙类型,,
配气机构,DOHC,DOHC
道路救援呼叫,●,●
道路交通标识识别,●,●
透明底盘/540度影像,●,●
远程启动功能,,
远程召唤,●,●
远光灯光源,,
进气形式,涡轮增压,涡轮增压
近光灯光源,,
运动风格座椅,-,-
运动外观套件,-,-
辅助驾驶芯片,,
辅助驾驶系统,,
辅助驾驶等级,,
轴距(mm),3005,3005
轮圈材质,,
转向辅助灯,●,●
转向头灯,-,-
车顶行李架,-,-
车门数(个),5,5
车门开启方式,平开门,平开门
车道居中保持,●,●
车道偏离预警系统,●,●
车道保持辅助系统,●,●
车载空气净化器,●,●
车载冰箱,-,-
车载CD/DVD,-,-
车身结构_y,SUV,SUV
车身结构_x,5门6座SUV,5门6座SUV
车身稳定控制(ESC/ESP/DSC等),●,●
车联网,●,●
车窗防夹手功能,●,●
车窗一键升降功能,,
车机智能芯片,,
车型名称,理想L8 2023款 Max,理想L8 2023款 Pro
车前雾灯,-,-
车内香氛装置,-,-
车内环境氛围灯,,
车内化妆镜,,
车内中控锁,●,●
车内PM2.5过滤装置,●,●
车侧脚踏板,,
车体结构,承载式,承载式
超声波雷达数量,,
负离子发生器,-,-
语音识别控制系统,,
触摸式阅读灯,●,●
被动行人保护,-,-
行车电脑显示屏幕,,
行李厢12V电源接口,●,●
蓝牙/车载电话,●,●
芯片总算力,,
自适应远近光,●,●
自动驻车,●,●
自动泊车入位,●,●
自动头灯,●,●
自动变道辅助,●,●
膝部气囊,-,-
能源类型,增程式,增程式
胎压监测功能,,
缺气保用轮胎,-,-
缸盖材料,铝合金,铝合金
缸体材料,铝合金,铝合金
级别,中大型SUV,中大型SUV
系统综合扭矩(N·m),620,620
系统综合功率(kW),330,330
系统综合功率(Ps),449,449
简称,电动车单速变速箱,电动车单速变速箱
第二排独立座椅,●,●
第二排座椅调节,,
第二排座椅电动调节,●,●
第二排座椅功能,,
第三排座椅调节,,
第三排座椅电动调节,●,●
第三排座椅功能,,
空调温度控制方式,,
空气悬架,●,●
离去角(°),21,21
百公里耗电量(kWh/100km),24.2,24.2
疲劳驾驶提示,●,●
电芯品牌,宁德时代,宁德时代
电能当量燃料消耗量(L/100km),2.7,2.7
电磁感应悬架,-,-
电池预加热,●,●
电池能量(kWh),40.9,40.9
电池组质保,八年或16万公里,八年或16万公里
电池类型,三元锂电池,三元锂电池
电池冷却方式,液冷,液冷
电机类型,永磁/同步,永磁/同步
电机布局,前置+后置,前置+后置
电动机总扭矩(N·m),620,620
电动机总功率(kW),330,330
电动机总功率(Ps),449,449
电动机(Ps),449,449
电动扰流板,-,-
电动座椅记忆功能,,
电动吸合车门,,
电动后备厢位置记忆,●,●
电动后备厢,●,●
环保标准_y,国VI,国VI
环保标准_x,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●
燃油标号,95号,95号
燃料形式,增程式,增程式
灯光特色功能,-,-
激光雷达数量,,-
温度分区控制,●,●
液晶仪表尺寸,-,-
油箱容积(L),65,65
气缸数(个),4,4
气缸排列形式,L,L
毫米波雷达数量,,
每缸气门数(个),4,4
杜比全景声(Dolby Atmos),●,●
最高车速(km/h),180,180
最大马力(Ps),154,154
最大满载质量(kg),3080,3080
最大扭矩转速(rpm),-,-
最大扭矩(N·m)_y,-,-
最大扭矩(N·m)_x,620,620
最大功率转速(rpm),-,-
最大功率(kW)_y,113,113
最大功率(kW)_x,330,330
最大净功率(kW),110,110
最低荷电状态油耗(L/100km),7.7,7.7
无钥匙进入功能,,
无钥匙启动系统,●,●
方向盘记忆,●,●
方向盘材质,,
方向盘换挡,-,-
方向盘加热,●,●
方向盘位置调节,,
整车质保,五年或10万公里,五年或10万公里
整备质量(kg),2480,2470
整体主动转向系统,-,-
摄像头数量,,
接近角(°),19,19
排量(mL),1496,1496
换电,不支持,不支持
换挡形式,,
挡位个数,1,1
扬声器数量,,
扬声器品牌名称,-,-
手机无线充电功能,,
手机互联/映射,-,-
手机APP远程控制,,
手势控制,●,●
慢充时间(小时)_y,6.5,6.5
慢充时间(小时)_x,6.5,6.5
感应雨刷功能,,
感应后备厢,●,●
快充电量百分比,80,80
快充电量(%),80,80
快充时间(小时)_y,0.5,0.5
快充时间(小时)_x,0.5,0.5
快充功能,支持,支持
快充功率(kW),75,75
座椅材质,,
座椅布局,,
座位数(个),6,6
并线辅助,●,●
巡航系统,,
导航路况信息显示,●,●
对外放电,●,●
宽度(mm),1995,1995
实测100-0km/h制动(m),38.7,-
实测0-100km/h加速(s),5.54,-
官方0-100km/h加速(s),5.5,5.5
安全带未系提醒,,
天窗类型,,
大灯高度可调,●,●
大灯清洗装置,-,-
大灯延时关闭,●,●
多层隔音玻璃,,
多媒体/充电接口,,
多功能方向盘,●,●
外后视镜功能,,
备胎规格,无,无
地图品牌,,
四驱形式,电动四驱,电动四驱
哨兵模式/千里眼,●,●
后风挡遮阳帘,-,-
后雨刷,●,●
后轮距(mm),1741,1741
后轮胎规格,255/50 R20,255/50 R20
后电动机最大扭矩(N·m),400,400
后电动机最大功率(kW),200,200
后方碰撞预警,●,●
