Feature,52622,52623,52819,54363,54364,54365,58028,58029,58030,58031,58032
高度(mm),1550,1550,1550,1550,1550,1550,1550,1550,1550,1550,1550
驾驶辅助影像,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,
驻车制动类型,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
首任车主质保政策,不限年限/不限里程（责任免除条款以官方为准）,不限年限/不限里程（责任免除条款以官方为准）,不限年限/不限里程（责任免除条款以官方为准）,不限年限/不限里程（责任免除条款以官方为准）,不限年限/不限里程（责任免除条款以官方为准）,不限年限/不限里程（责任免除条款以官方为准）,不限年限/不限里程（责任免除条款以官方为准）,不限年限/不限里程（责任免除条款以官方为准）,不限年限/不限里程（责任免除条款以官方为准）,不限年限/不限里程（责任免除条款以官方为准）,不限年限/不限里程（责任免除条款以官方为准）
面部识别,-,-,-,-,-,-,-,-,-,-,-
隐藏电动门把手,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-
长度(mm),3740,3740,3740,3740,3740,3740,3740,3740,3740,3740,3740
长*宽*高(mm),3740*1655*1550,3740*1655*1550,3740*1655*1550,3740*1655*1550,3740*1655*1550,3740*1655*1550,3740*1655*1550,3740*1655*1550,3740*1655*1550,3740*1655*1550,3740*1655*1550
钥匙类型,,,,,,,,,,,
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-
道路交通标识识别,-,-,-,-,-,-,-,-,-,-,-
远程启动功能,,,,,,,,,,,
远光灯光源,,,,,,,,,,,
近光灯光源,,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),2415,2415,2415,2415,2415,2415,2415,2415,2415,2415,2415
轮圈材质,,,,,,,,,,,
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-,-
车门数(个),5,5,5,5,5,5,5,5,5,5,5
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车
