,1005674
车型名称,图雅诺EV 2018款 EV
厂商指导价(元),29.72万
厂商,福田汽车
级别,轻客
能源类型,纯电动
上市时间,-
工信部纯电续驶里程(km),-
快充时间(小时),-
慢充时间(小时),-
快充电量百分比,-
最大功率(kW),100
最大扭矩(N·m),800
长*宽*高(mm),5990×2000×2440
车身结构_x,客车
最高车速(km/h),-
整车质保,-
长度(mm),5990
宽度(mm),2000
高度(mm),2440
轴距(mm),-
前轮距(mm),-
后轮距(mm),-
最小离地间隙(mm),-
整备质量(kg),-
车身结构_y,客车
车门数(个),5
座位数(个),-
后排车门开启方式,侧滑门
油箱容积(L),-
货箱尺寸(mm),-
最大载重质量(kg),-
简称,电动车单速变速箱
挡位个数,1
变速箱类型,固定齿比变速箱
驱动方式,前置后驱
前悬架类型,麦弗逊式独立悬架
后悬架类型,钢板弹簧
助力类型,未知
车体结构,承载式
前制动器类型,通风盘式
后制动器类型,未知
前轮胎规格,215/75 R16
后轮胎规格,215/75 R16
电机类型,-
电动机总功率(kW),100
电动机总扭矩(N·m),800
前电动机最大功率(kW),-
前电动机最大扭矩(N·m),-
后电动机最大功率(kW),-
后电动机最大扭矩(N·m),-
驱动电机数,-
电机布局,-
电池类型,-
工信部续航里程(km),-
电池容量(kWh),66.6
百公里耗电量(kWh/100km),-
电池组质保,-
电池充电时间,-
快充电量(%),-
