,34209,34552,34577,34578,34579,34584
车型名称,英菲尼迪QX50 2018款 2.0T 四驱旗舰版,英菲尼迪QX50 2018款 2.0T 两驱菁英版,英菲尼迪QX50 2018款 2.0T 两驱时尚版,英菲尼迪QX50 2018款 2.0T 四驱菁英版,英菲尼迪QX50 2018款 2.0T 四驱智能版,英菲尼迪QX50 2018款 2.0T 四驱豪华版
厂商指导价(元),51.00万,35.00万,37.00万,40.00万,43.00万,48.00万
厂商,东风英菲尼迪,东风英菲尼迪,东风英菲尼迪,东风英菲尼迪,东风英菲尼迪,东风英菲尼迪
级别,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV
能源类型,汽油,汽油,汽油,汽油,汽油,汽油
最大功率(kW)_x,200,180,180,200,200,200
最大扭矩(N·m)_x,380,380,380,380,380,380
发动机,2.0T 272马力 L4,2.0T 245马力 L4,2.0T 245马力 L4,2.0T 272马力 L4,2.0T 272马力 L4,2.0T 272马力 L4
变速箱,CVT无级变速(模拟8挡),CVT无级变速(模拟8挡),CVT无级变速(模拟8挡),CVT无级变速(模拟8挡),CVT无级变速(模拟8挡),CVT无级变速(模拟8挡)
长*宽*高(mm),4705*1903*1678,4705*1903*1681,4705*1903*1681,4705*1903*1678,4705*1903*1678,4705*1903*1678
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
最高车速(km/h),-,-,-,-,-,-
官方0-100km/h加速(s),-,-,-,-,-,-
实测0-100km/h加速(s),-,-,-,-,-,-
实测100-0km/h制动(m),-,-,-,-,-,-
工信部综合油耗(L/100km),7.9,7.4,7.4,7.5,7.8,7.9
实测油耗(L/100km),-,-,-,-,-,-
整车质保,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里
长度(mm),4705,4705,4705,4705,4705,4705
宽度(mm),1903,1903,1903,1903,1903,1903
高度(mm),1678,1681,1681,1678,1678,1678
轴距(mm),2798,2798,2798,2798,2798,2798
前轮距(mm),-,-,-,-,-,-
后轮距(mm),-,-,-,-,-,-
最小离地间隙(mm),-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV
车门数(个),5,5,5,5,5,5
座位数(个),5,5,5,5,5,5
油箱容积(L),60,60,60,60,60,60
行李厢容积(L),565-1139,565-1139,565-1139,565-1139,565-1139,565-1139
整备质量(kg),1909,1788,1808,1830,1878,1909
发动机型号,-,-,-,-,-,-
排量(mL),1997,1970,1970,1997,1997,1997
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
气缸排列形式,L,L,L,L,L,L
气缸数(个),4,4,4,4,4,4
每缸气门数(个),4,4,4,4,4,4
压缩比,-,-,-,-,-,-
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
缸径(mm),-,-,-,-,-,-
行程(mm),-,-,-,-,-,-
最大马力(Ps),272,245,245,272,272,272
最大功率(kW)_y,200,180,180,200,200,200
最大功率转速(rpm),-,-,-,-,-,-
最大扭矩(N·m)_y,380,380,380,380,380,380
最大扭矩转速(rpm),-,-,-,-,-,-
发动机特有技术,可变压缩比、双循环、可变气门正时,可变压缩比、双循环、可变气门正时,可变压缩比、双循环、可变气门正时,可变压缩比、双循环、可变气门正时,可变压缩比、双循环、可变气门正时,可变压缩比、双循环、可变气门正时
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油
燃油标号,95号,95号,95号,95号,95号,95号
供油方式,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
环保标准,国V,国V,国V,国V,国V,国V
挡位个数,8,8,8,8,8,8
变速箱类型,无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT)
简称,CVT无级变速(模拟8挡),CVT无级变速(模拟8挡),CVT无级变速(模拟8挡),CVT无级变速(模拟8挡),CVT无级变速(模拟8挡),CVT无级变速(模拟8挡)
驱动方式,前置四驱,前置前驱,前置前驱,前置四驱,前置四驱,前置四驱
四驱形式,全时四驱,-,-,全时四驱,全时四驱,全时四驱
中央差速器结构,待查,-,-,待查,待查,待查
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
后悬架类型,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架
助力类型,电子电传助力,电动助力,电动助力,电动助力,电动助力,电动助力
车体结构,承载式,承载式,承载式,承载式,承载式,承载式
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
后制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
前轮胎规格,255/45 R20,235/55 R19,235/55 R19,235/55 R19,235/55 R19,255/45 R20
后轮胎规格,255/45 R20,235/55 R19,235/55 R19,235/55 R19,235/55 R19,255/45 R20
备胎规格,无,无,无,无,无,无
