Feature,55767,57474
高度(mm),1636,1636
高压快充,支持高压快充,支持高压快充
驾驶辅助影像,,
驾驶模式切换,,
驻车制动类型,电子驻车,电子驻车
驱动电机数,双电机,双电机
驱动方式,双电机四驱,双电机四驱
风阻系数(Cd),0.26,0.26
面部识别,-,-
隐藏电动门把手,●,●
陡坡缓降,●,●
限滑差速器/差速锁,-,-
长度(mm),5103,5103
长*宽*高(mm),5103*2019*1636,5103*2019*1636
钥匙类型,,
遥控泊车,●,●
道路救援呼叫,●,●
道路交通标识识别,●,●
远程启动功能,,
远光灯光源,,
近光灯光源,,
运动风格座椅,●,●
运动外观套件,●,○
辅助驾驶芯片,,
辅助驾驶等级,,
轴距(mm),3019,3019
轮圈材质,,
转向辅助灯,-,-
转向头灯,●,●
车顶行李架,-,-
车门数(个),5,5
车门开启方式,平开门,平开门
车道居中保持,●,●
车道偏离预警系统,●,●
车道保持辅助系统,●,●
车载空气净化器,●,●
车载智能系统,,
车载冰箱,-,-
车载CD/DVD,-,-
车身结构_y,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●
车联网,●,●
车窗防夹手功能,●,●
车窗一键升降功能,,
车机智能芯片,,
车型名称,ELETRE 2023款 R+,ELETRE 2023款 S+
车前雾灯,-,-
车内香氛装置,-,-
车内环境氛围灯,,
车内化妆镜,,
车内中控锁,●,●
车内PM2.5过滤装置,●,●
车体结构,承载式,承载式
超声波雷达数量,,
负离子发生器,●,●
语音识别控制系统,,
触摸式阅读灯,●,●
被动行人保护,-,-
行车电脑显示屏幕,,
行李厢12V电源接口,●,●
蓝牙/车载电话,●,●
芯片总算力,,
自适应远近光,●,●
自动驻车,●,●
自动泊车入位,●,●
自动头灯,●,●
自动变道辅助,●,●
膝部气囊,-,-
能源类型,纯电动,纯电动
胎压监测功能,,
缺气保用轮胎,○,○
级别,中大型SUV,中大型SUV
简称,2挡自动,电动车单速变速箱
第二排独立座椅,○,○
第二排座椅调节,,
第二排座椅电动调节,○,○
第二排座椅功能,,
空载最小离地间隙(mm),194,194
空调温度控制方式,,
空气悬架,●,●
离去角(°),21,21
百公里耗电量(kWh/100km),-,-
疲劳驾驶提示,●,●
电芯品牌,宁德时代,宁德时代
电磁感应悬架,-,-
电池预加热,●,●
电池能量(kWh),112,112
电池组质保,待查,待查
电池类型,三元锂电池,三元锂电池
电池冷却方式,液冷,液冷
电机类型,永磁/同步,永磁/同步
电机布局,前置+后置,前置+后置
电动机总扭矩(N·m),985,710
电动机总功率(kW),675,450
电动机总功率(Ps),918,612
电动机(Ps),918,612
电动扰流板,●,●
电动座椅记忆功能,,
电动吸合车门,,
电动后备厢位置记忆,●,●
电动后备厢,●,●
牵引力控制(ASR/TCS/TRC等),●,●
灯光特色功能,,
激光雷达数量,,
温度分区控制,●,●
液晶仪表尺寸,,
毫米波雷达数量,,
最高车速(km/h),265,258
最小转弯半径(m),5.3,5.3
最大满载质量(kg),3150,3100
最大扭矩(N·m),985,710
最大功率(kW),675,450
无钥匙进入功能,,
无钥匙启动系统,●,●
无框设计车门,●,●
方向盘记忆,●,●
方向盘离手检测,●,●
方向盘材质,,
方向盘换挡,-,-
方向盘加热,●,●
方向盘位置调节,,
整车质保,待查,待查
整备质量(kg),2690,2600
整体主动转向系统,●,●
摄像头数量,,
接近角(°),18,18
换挡形式,,
挡位个数,2,1
扬声器数量,,
扬声器品牌名称,,
手机无线充电功能,,
手机互联/映射,-,-
手机APP远程控制,,
手势控制,-,-
慢充时间(小时)_y,5.8,5.8
慢充时间(小时)_x,5.8,5.8
感应雨刷功能,,
感应后备厢,●,●
快充电量百分比,80,80
快充电量(%),80,80
快充时间(小时)_y,0.33,0.33
快充时间(小时)_x,0.33,0.33
快充功能,支持,支持
快充功率(kW),420,420
座椅材质,,
座位数(个),5,5
并线辅助,●,●
巡航系统,,
导航路况信息显示,●,●
宽度(mm),2019,2019
官方0-100km/h加速(s),2.95,4.5
安全带未系提醒,,
天窗类型,,
大灯高度可调,●,●
大灯清洗装置,-,-
大灯延时关闭,●,●
多层隔音玻璃,,
多媒体/充电接口,,
多功能方向盘,●,●
外后视镜功能,,
备胎规格,无,无
四驱形式,电动四驱,电动四驱
后风挡遮阳帘,-,-
后雨刷,-,-
后轮距(mm),1684,1684
后轮胎规格,315/35 R22,315/35 R22
后电动机最大功率(kW),450,225
后方碰撞预警,●,●
后排独立空调,●,●
后排液晶屏幕尺寸,,
后排液晶屏幕,,
后排杯架,●,●
后排控制多媒体,●,●
后排座椅电动放倒,-,-
后排座椅放倒形式,,
后排小桌板,-,-
后排侧隐私玻璃,●,●
后排侧窗遮阳帘,-,-
后悬架类型,五连杆独立悬架,五连杆独立悬架
后座出风口,●,●
后备厢容积(L),688-1532,688-1532
后制动器类型,通风盘式,通风盘式
可翻转中控屏幕,●,●
可变转向比,-,-
可变悬架功能,,
可加热喷水嘴,●,●
变速箱类型,自动变速箱(AT),固定齿比变速箱
厂商指导价(元),102.80万,82.80万
厂商,路特斯,路特斯
卫星导航系统,●,●
助力类型,电动助力,电动助力
加热/制冷杯架,-,-
副驾驶位后排可调节按钮,-,-
副驾娱乐屏,,
副座椅调节方式,,
前轮距(mm),1706,1706
前轮胎规格,275/40 R22,275/40 R22
前电动机最大功率(kW),225,225
前方碰撞预警,●,●
前排座椅功能,,
前悬架类型,五连杆独立悬架,五连杆独立悬架
前大灯雨雾模式,-,-
前制动器类型,通风盘式,通风盘式
前/后驻车雷达,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排侧气囊,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
刹车辅助(EBA/BAS/BA等),●,●
制动能量回收系统,●,●
制动力分配(EBD/CBC等),●,●
准拖挂车总质量(kg),2250,2250
内置行车记录仪,●,●
内后视镜功能,,
全液晶仪表盘,●,●
倒车车侧预警系统,●,●
低速行车警告,●,●
主座椅调节方式,,
主动降噪,●,●
主动闭合式进气格栅,●,●
主动刹车/主动安全系统,●,●
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
中控彩色屏幕,,
中控屏幕尺寸,,
上市时间,2022.10,2022.10
上坡辅助,●,●
Wi-Fi热点,●,●
USB/Type-C接口数量,,
OTA升级,●,●
LED日间行车灯,●,●
ISOFIX儿童座椅接口,●,●
HUD抬头数字显示,-,-
DOW开门预警,●,●
CLTC纯电续航里程(km)_y,560,650
CLTC纯电续航里程(km)_x,560,650
AR-HUD增强现实抬头显示,●,●
ABS防抱死,●,●
4G/5G网络,,
220V/230V电源,-,-
