Feature,52971,56133
高度(mm),1650,1650
驾驶辅助影像,,
驾驶模式切换,,
驻车制动类型,电子驻车,电子驻车
驱动电机数,单电机,单电机
驱动方式,前置四驱,前置四驱
面部识别,-,-
隐藏电动门把手,●,●
陡坡缓降,●,●
限滑差速器/差速锁,,
长度(mm),4531,4531
长*宽*高(mm),4531*1904*1650,4531*1904*1650
钥匙类型,,
配气机构,DOHC,DOHC
道路救援呼叫,●,●
道路交通标识识别,●,●
远程启动功能,,
远光灯光源,,
进气形式,涡轮增压,涡轮增压
近光灯光源,,
运动风格座椅,-,-
运动外观套件,●,●
辅助驾驶等级,,
轴距(mm),2841,2841
轮圈材质,,
转向辅助灯,-,-
转向头灯,○,○
车顶行李架,-,-
车门数(个),5,5
车门开启方式,平开门,平开门
车道偏离预警系统,●,●
车道保持辅助系统,●,●
车载空气净化器,●,●
车载智能系统,,
车载冰箱,-,-
车载CD/DVD,-,-
车身结构_y,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●
车联网,●,●
车窗防夹手功能,●,●
车窗一键升降功能,,
车型名称,揽胜极光新能源 2021款 极光L P300e 豪华版,揽胜极光新能源 2022款 极光L P300e 性能版
车前雾灯,-,-
车内香氛装置,-,-
车内环境氛围灯,-,
车内化妆镜,,
车内中控锁,●,●
车内PM2.5过滤装置,●,●
车体结构,承载式,承载式
超声波雷达数量,,
负离子发生器,●,●
语音识别控制系统,,
触摸式阅读灯,●,●
被动行人保护,-,-
行车电脑显示屏幕,,
行李厢12V电源接口,●,●
蓝牙/车载电话,●,●
自适应远近光,●,●
自动驻车,●,●
自动泊车入位,●,-
自动头灯,●,●
膝部气囊,-,-
能源类型,插电式混合动力,插电式混合动力
胎压监测功能,,
缺气保用轮胎,-,-
缸盖材料,铝合金,铝合金
缸体材料,铝合金,铝合金
纵向通过角(°),19.9,19.9
级别,中型SUV,中型SUV
系统综合扭矩(N·m),540,540
系统综合功率(kW),227,227
系统综合功率(Ps),309,309
简称,8挡手自一体,8挡手自一体
第二排独立座椅,-,-
第二排座椅调节,,
第二排座椅电动调节,●,●
第二排座椅功能,,
空调温度控制方式,,
空气悬架,-,-
离去角(°),32,32
百公里耗电量(kWh/100km),-,-
疲劳驾驶提示,●,●
电能当量燃料消耗量(L/100km),-,2.31
电磁感应悬架,-,-
电池能量(kWh),-,-
电池组质保,八年或16万公里,八年或16万公里
电池类型,三元锂电池,三元锂电池
电机类型,永磁/同步,永磁/同步
电机布局,后置,后置
电动机总扭矩(N·m),260,260
电动机总功率(kW),80,80
电动机总功率(Ps),109,109
电动机(Ps),109,109
电动扰流板,-,-
电动座椅记忆功能,,
电动吸合车门,-,-
电动后备厢位置记忆,●,●
电动后备厢,●,●
环保标准_y,国VI,国VI
环保标准_x,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●
燃油标号,95号,95号
燃料形式,插电式混合动力,插电式混合动力
灯光特色功能,,
满载最小离地间隙(mm),179,179
温度分区控制,●,●
液晶仪表尺寸,,
油箱容积(L),56.5,56.5
气缸数(个),3,3
气缸排列形式,L,L
毫米波雷达数量,,
每缸气门数(个),4,4
最高车速(km/h),206,206
最小转弯半径(m),6.1,6.1
最大马力(Ps),200,200
最大满载质量(kg),-,2720
最大涉水深度(mm),600,600
最大扭矩转速(rpm),2000-4500,2000-4500
最大扭矩(N·m)_y,280,280
最大扭矩(N·m)_x,540,540
最大功率转速(rpm),5500,5500
最大功率(kW)_y,147,147
最大功率(kW)_x,227,227
最大净功率(kW),147,147
最低荷电状态油耗(L/100km),-,6.2
无钥匙进入功能,,
无钥匙启动系统,●,●
方向盘记忆,-,-
方向盘材质,,
方向盘换挡,●,●
方向盘加热,○,○
方向盘位置调节,,
整车质保,三年或10万公里,三年或10万公里
整备质量(kg),2245,2245
整体主动转向系统,-,-
摄像头数量,,
接近角(°),20,20
排量(mL),1498,1498
换挡形式,,
挡位个数,8,8
扬声器数量,,
扬声器品牌名称,,
手机无线充电功能,,
手机互联/映射,,
手机APP远程控制,,
手势控制,-,-
慢充时间(小时)_y,2.05,2.05
慢充时间(小时)_x,2.05,2.05
感应雨刷功能,,
感应后备厢,○,○
快充电量百分比,80,80
快充电量(%),80,80
快充时间(小时)_y,0.5,0.5
快充时间(小时)_x,0.5,0.5
快充功能,支持,支持
座椅材质,,
座位数(个),5,5
并线辅助,●,-
巡航系统,,
导航路况信息显示,●,●
宽度(mm),1904,1904
官方0-100km/h加速(s),7,7
安全带未系提醒,,
天窗类型,,
大灯高度可调,●,●
大灯清洗装置,-,-
大灯延时关闭,●,●
多层隔音玻璃,-,-
多媒体/充电接口,,
多功能方向盘,●,●
外后视镜功能,,
备胎规格,非全尺寸,非全尺寸
四驱形式,电动四驱,电动四驱
后风挡遮阳帘,-,-
后雨刷,●,●
后轮距(mm),1642,1642
后轮胎规格,235/50 R20,235/50 R20
后电动机最大扭矩(N·m),260,260
后电动机最大功率(kW),80,80
后排独立空调,●,●
后排液晶屏幕,-,-
后排杯架,●,●
后排控制多媒体,-,-
后排座椅电动放倒,-,-
后排座椅放倒形式,,
后排小桌板,-,-
