Feature,59139,62633,62634,62635,62636
高度(mm),1500,1500,1500,1500,1500
驾驶辅助影像,,,,,
驾驶模式切换,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动电机数,双电机,单电机,单电机,双电机,双电机
驱动方式,双电机四驱,后置后驱,后置后驱,双电机四驱,双电机四驱
首任车主质保政策,不限年限/不限里程,不限年限/不限里程,不限年限/不限里程,不限年限/不限里程,不限年限/不限里程
风阻系数(Cd),0.207,0.207,0.207,0.207,0.207
面部识别,●,-,-,●,●
隐藏电动门把手,●,●,●,●,●
陡坡缓降,●,●,●,●,●
限滑差速器/差速锁,-,-,-,-,-
长度(mm),5270,5270,5270,5270,5270
长*宽*高(mm),5270*2000*1500,5270*2000*1500,5270*2000*1500,5270*2000*1500,5270*2000*1500
钥匙类型,,,,,
遥控泊车,●,●,●,●,●
道路救援呼叫,●,●,●,●,●
道路交通标识识别,●,●,●,●,●
透明底盘/540度影像,●,●,●,●,●
远程启动功能,,,,,
远光灯光源,,,,,
近光灯光源,,,,,
运动风格座椅,-,-,-,-,-
运动外观套件,-,-,-,-,-
辅助驾驶等级,,,,,
轴距(mm),3130,3130,3130,3130,3130
轮圈材质,,,,,
转向辅助灯,●,●,●,●,●
转向头灯,-,-,-,-,-
车顶行李架,-,-,-,-,-
车门数(个),4,4,4,4,4
车门开启方式,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,●,●
车道偏离预警系统,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●
车载空气净化器,●,●,●,●,●
车载智能系统,,,,,
车载冰箱,-,-,-,-,-
车载KTV,●,-,-,-,-
车载CD/DVD,-,-,-,-,-
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●
车联网,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●
车窗一键升降功能,,,,,
车机智能芯片,,,,,
车型名称,2023款 150kWh 四驱远航版,2023款 88kWh 后驱尊贵版,2023款 100kWh 后驱尊贵版,2023款 88kWh 四驱尊享版,2023款 100kWh 四驱至尊版
车前雾灯,,,,,
车内香氛装置,●,-,-,●,●
车内生物监测系统,●,-,-,-,●
车内环境氛围灯,,,,,
车内化妆镜,,,,,
车内中控锁,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,
负离子发生器,●,●,●,●,●
语音识别控制系统,,,,,
触摸式阅读灯,●,●,●,●,●
被动行人保护,-,-,-,-,-
行车电脑显示屏幕,,,,,
行李厢12V电源接口,●,●,●,●,●
蓝牙/车载电话,●,●,●,●,●
自适应远近光,●,●,●,●,●
自动驻车,●,●,●,●,●
自动泊车入位,●,●,●,●,●
自动开合车门,●,-,-,●,●
自动头灯,●,●,●,●,●
自动变道辅助,●,●,●,●,●
膝部气囊,-,-,-,-,-
能量回收系统,●,●,●,●,●
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,,,,,
缺气保用轮胎,-,-,-,-,-
级别,中大型车,中大型车,中大型车,中大型车,中大型车
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
