Feature,1005628,1005629,1005630,1007094,1007095,1007096,1007097
高度(mm),1980,1980,1980,1980,1980,1980,1980
驱动电机数,-,-,-,单电机,单电机,单电机,单电机
驱动方式,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱
零胎压继续行驶,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-
防紫外线玻璃,-,-,-,-,-,-,-
长度(mm),5330,5330,5330,5330,5330,5330,5330
长*宽*高(mm),5330×1700×1980,5330×1700×1980,5330×1700×1980,5330×1700×1980,5330×1700×1980,5330×1700×1980,5330×1700×1980
铝合金轮圈,○,○,○,○,○,○,○
遮阳板化妆镜,-,-,-,-,-,-,-
遥控钥匙,○,○,○,○,○,○,○
道路救援呼叫,-,-,-,-,-,-,-
远光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素
近光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素
运动风格座椅,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-
轴距(mm),2890,2890,2890,2890,2890,2890,2890
转向辅助灯,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-
车门数(个),4,4,4,4,4,4,4
车载电视,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-
车身结构_y,货车,货车,货车,货车,货车,货车,货车
车身结构_x,货车,货车,货车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-
车型名称,金旅海狮新能源 2017款 XML5036XXYEVL0型纯电动厢式运输车,金旅海狮新能源 2017款 XML5036XXYEVW0型纯电动厢式运输车,金旅海狮新能源 2017款 XML5036XXYEVH0型纯电动厢式运输车,金旅海狮新能源 2019款 龙运GLE800系列XML5036XXYEVW01,金旅海狮新能源 2019款 龙运GLE800系列XML5036XXYEVL01,金旅海狮新能源 2019款 龙运GLE800系列XML5036XXYEVL02,金旅海狮新能源 2019款 龙运GLE800系列XML5036XXYEVL03
车内空气调节/花粉过滤,-,-,-,-,-,-,-
车内氛围灯,-,-,-,-,-,-,-
车内中控锁,○,○,○,○,○,○,○
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式
货箱尺寸(mm),-,-,-,-,-,-,-
行车电脑显示屏,-,-,-,-,-,-,-
蓝牙/车载电话,-,-,-,-,-,-,-
自适应远近光,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-
膝部气囊,-,-,-,-,-,-,-
腰部支撑调节,-,-,-,-,-,-,-
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测装置,○,○,○,-,-,-,-
肩部支撑调节,-,-,-,-,-,-,-
级别,轻客,轻客,轻客,轻客,轻客,轻客,轻客
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排靠背角度调节,-,-,-,-,-,-,-
第二排座椅移动,-,-,-,-,-,-,-
第三排座椅,-,-,-,-,-,-,-
空调控制方式,手动●,手动●,手动●,手动●,手动●,手动●,手动●
空气悬架,-,-,-,-,-,-,-
皮质方向盘,○,○,○,○,○,○,○
百公里耗电量(kWh/100km),-,-,-,-,-,-,-
电池组质保,5年或20万公里,5年或20万公里,5年或20万公里,5年或20万公里,5年或20万公里,5年或20万公里,5年或20万公里
