Feature,1015451,1015586,1015588,1015589,1015614,1015615,1015616
高度(mm),2080,2100,2080,2100,2080,2080,2100
驾驶辅助影像,,,,,,,
驱动方式,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱
陡坡缓降,-,-,-,-,-,-,-
长度(mm),5875,5980,5575,5680,5575,5875,5980
长*宽*高(mm),5875*1850*2080,5980*1850*2100,5575*1850*2080,5680*1850*2100,5575*1850*2080,5875*1850*2080,5980*1850*2100
钥匙类型,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,-,-,-,-,-,-,-
远光灯光源,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,
运动风格座椅,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-
轴距(mm),3800,3800,3800,3800,3800,3800,3800
轮圈材质,,,,,,,
转向辅助灯,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-
车门数(个),2,4,2,4,2,2,4
车载冰箱,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-
车身结构_y,货车,货车,货车,货车,货车,货车,货车
车身结构_x,货车,货车,货车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-
车型名称,2023款 1.6L 手动单排3.7米货厢标准型SWD16MS,2023款 1.6L 手动双排3.0米货厢标准型SWD16MS,2023款 1.6L 手动单排3.4米货厢标准型SWD16MS,2023款 1.6L 手动双排2.7米货厢标准型SWD16MS,金杯金卡S6 2023款 1.6L CNG手动单排200L 3.4米货厢标准型SWDC16M,金杯金卡S6 2023款 1.6L CNG手动单排200L 3.7米货厢标准型SWDC16M,金杯金卡S6 2023款 1.6L CNG手动双排160L 3.0米货厢标准型SWDC16M
车前雾灯,,,,,,,
车内环境氛围灯,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
行车电脑显示屏幕,,,,,,,
蓝牙/车载电话,○,○,○,○,○,○,○
自适应远近光,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-
能源类型,汽油,汽油,汽油,汽油,汽油+CNG,汽油+CNG,汽油+CNG
胎压监测功能,-,-,-,-,-,-,-
缺气保用轮胎,-,-,-,-,-,-,-
缸盖材料,未知,未知,未知,未知,未知,未知,未知
缸体材料,未知,未知,未知,未知,未知,未知,未知
级别,微卡,微卡,微卡,微卡,微卡,微卡,微卡
简称,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
第二排座椅调节,-,-,-,-,-,-,-
第二排座椅电动调节,-,-,-,-,-,-,-
第二排座椅功能,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,
空气悬架,-,-,-,-,-,-,-
电动座椅记忆功能,-,-,-,-,-,-,-
电动吸合车门,-,-,-,-,-,-,-
电动后备厢位置记忆,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-,-
燃油标号,92号,92号,92号,92号,92号,92号,92号
燃料形式,汽油,汽油,汽油,汽油,汽油+CNG,汽油+CNG,汽油+CNG
温度分区控制,-,-,-,-,-,-,-
气缸数(个),4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4
最高车速(km/h),115,115,115,115,-,-,-
最大马力(Ps),124,124,124,124,112,112,112
最大载重质量(kg),1835,1495,1835,1495,1660,1660,1380
最大功率(kW)_y,91,91,91,91,82,82,82
最大功率(kW)_x,91,91,91,91,82,82,82
无钥匙进入功能,-,-,-,-,-,-,-
无钥匙启动系统,-,-,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-,-
方向盘材质,,,,,,,
方向盘换挡,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-
方向盘位置调节,-,-,-,-,-,-,-
整备质量(kg),1530,1620,1530,1620,1705,1705,1790
排量(mL),1599,1599,1599,1599,1599,1599,1599
挡位个数,5,5,5,5,5,5,5
扬声器数量,,,,,,,
扬声器品牌名称,-,-,-,-,-,-,-
感应雨刷功能,-,-,-,-,-,-,-
感应后备厢,-,-,-,-,-,-,-
座椅材质,,,,,,,
座位数(个),2,5,2,5,2,2,5
并线辅助,-,-,-,-,-,-,-
工信部综合油耗(L/100km),7.5,7.9,7.5,7.9,-,-,-
巡航系统,-,-,-,-,-,-,-
宽度(mm),1850,1850,1850,1850,1850,1850,1850
安全带未系提醒,,,,,,,
天窗类型,-,-,-,-,-,-,-
大灯高度可调,●,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-,-
多媒体/充电接口,,,,,,,
多功能方向盘,-,-,-,-,-,-,-
外后视镜功能,-,-,-,-,-,-,-
后风挡遮阳帘,-,-,-,-,-,-,-
后雨刷,-,-,-,-,-,-,-
后轮距(mm),1430,1430,1430,1430,1430,1430,1430
后轮胎规格,185 R14LT,185 R14LT,185 R14LT,185 R14LT,185 R14LT,185 R14LT,185 R14LT
后排车门开启方式,-,平开门,-,平开门,-,-,平开门
后排独立空调,-,-,-,-,-,-,-
后排杯架,-,-,-,-,-,-,-
后排座椅放倒形式,-,,-,,-,-,
后排侧隐私玻璃,-,-,-,-,-,-,-
后排侧窗遮阳帘,-,-,-,-,-,-,-
后悬架类型,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架
后座出风口,-,-,-,-,-,-,-
后制动器类型,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式
可变转向比,-,-,-,-,-,-,-
可变悬架功能,-,-,-,-,-,-,-
变速箱类型,手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT),手动变速箱(MT)
变速箱,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动,5挡手动
发动机电子防盗,-,-,-,-,-,-,-
发动机型号,SWD16MS,SWD16MS,SWD16MS,SWD16MS,SWDC16M,SWDC16M,SWDC16M
发动机启停技术,-,-,-,-,-,-,-
发动机,1.6L 124马力 L4,1.6L 124马力 L4,1.6L 124马力 L4,1.6L 124马力 L4,1.6L 112马力 L4,1.6L 112马力 L4,1.6L 112马力 L4
厂商指导价(元),5.69万,5.99万,5.49万,5.79万,6.09万,6.29万,6.59万
厂商,华晨鑫源,华晨鑫源,华晨鑫源,华晨鑫源,华晨鑫源,华晨鑫源,华晨鑫源
卫星导航系统,-,-,-,-,-,-,-
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力
副座椅调节方式,,,,,,,
前轮距(mm),1480,1480,1480,1480,1480,1480,1480
前轮胎规格,185 R14LT,185 R14LT,185 R14LT,185 R14LT,185 R14LT,185 R14LT,185 R14LT
前排座椅功能,-,-,-,-,-,-,-
前悬架类型,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架,钢板弹簧非独立悬架
前制动器类型,盘式,盘式,盘式,盘式,盘式,盘式,盘式
前/后驻车雷达,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○,前-&nbsp;/&nbsp;后○
前/后电动车窗,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后排头部气囊(气帘),-,-,-,-,-,-,-
前/后排侧气囊,-,-,-,-,-,-,-
前/后中央扶手,-,-,-,-,-,-,-
刹车辅助(EBA/BAS/BA等),-,-,-,-,-,-,-
制动力分配(EBD/CBC等),-,-,-,-,-,-,-
内后视镜功能,-,-,-,-,-,-,-
全液晶仪表盘,-,-,-,-,-,-,-
供油方式,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷,多点电喷
主座椅调节方式,,,,,,,
