Feature,60880,60881,60882,60883,60884,60885,60886,60887
高度(mm),2004,2004,2160,2160,2160,2160,2160,2160
驾驶辅助影像,,,,,,,,
驾驶模式切换,,,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱
面部识别,-,-,-,-,-,-,-,-
隐藏电动门把手,-,-,-,-,-,-,-,-
陡坡缓降,●,●,●,●,●,●,●,●
限滑差速器/差速锁,,,,,,,,
长度(mm),5907,5907,5907,5907,5907,5907,5907,5907
长*宽*高(mm),5907*2083*2004,5907*2083*2004,5907*2083*2160,5907*2083*2160,5907*2083*2160,5907*2083*2160,5907*2083*2160,5907*2083*2160
钥匙类型,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,-,-,-,-,-,-,-,-
道路交通标识识别,-,-,-,-,-,-,-,-
远程启动功能,,,,,,,,
远光灯光源,,,,,,,,
进气形式,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压
近光灯光源,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-
运动外观套件,-,●,-,●,-,●,-,●
辅助驾驶等级,,,,,,,,
轴距(mm),3685,3685,3685,3685,3685,3685,3685,3685
轮圈材质,,,,,,,,
转向辅助灯,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-
车顶行李架,●,●,-,-,-,-,-,-
车门数(个),5,5,5,5,5,5,5,5
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,●,●,●,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●,●,●,●
车载空气净化器,-,-,-,-,●,●,●,●
车载电视,-,-,-,-,●,●,●,●
车载冰箱,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门4座SUV,5门4座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,
车型名称,勇猛者 2022款 3.5T 豪华版,勇猛者 2022款 3.5T 豪华越野版,勇猛者 2022款 3.5T 豪华高顶版,勇猛者 2022款 3.5T 豪华高顶越野版,勇猛者 2022款 3.5T 豪华高顶尊享版,勇猛者 2022款 3.5T 豪华高顶尊享越野版,勇猛者 2022款 3.5T 旗舰版 4座,勇猛者 2022款 3.5T 旗舰越野版 4座
车前雾灯,-,-,-,-,-,-,-,-
车内香氛装置,-,-,-,-,-,-,-,-
车内环境氛围灯,,,,,,,,
车内化妆镜,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-
车侧脚踏板,,,,,,,,
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
负离子发生器,-,-,-,-,-,-,-,-
语音识别控制系统,,,,,,,,
触摸式阅读灯,●,●,●,●,●,●,●,●
被动行人保护,-,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,,
行李厢12V电源接口,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,●,●,●,●
自适应远近光,●,●,●,●,●,●,●,●
自动驻车,-,-,-,-,-,-,-,-
自动泊车入位,●,●,●,●,●,●,●,●
自动头灯,●,●,●,●,●,●,●,●
膝部气囊,-,-,-,-,-,-,-,-
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测功能,,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,大型SUV,大型SUV,大型SUV,大型SUV,大型SUV,大型SUV,大型SUV,大型SUV
简称,10挡手自一体,10挡手自一体,10挡手自一体,10挡手自一体,10挡手自一体,10挡手自一体,10挡手自一体,10挡手自一体
第二排独立座椅,●,●,●,●,●,●,●,●
第二排座椅调节,,,,,,,,
第二排座椅电动调节,●,●,●,●,●,●,●,●
第二排座椅功能,,,,,,,,
空调温度控制方式,,,,,,,,
空气悬架,-,-,-,-,-,-,-,-
离去角(°),21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.2
疲劳驾驶提示,●,●,●,●,●,●,●,●
电磁感应悬架,-,-,-,-,-,-,-,-
电动扰流板,-,-,-,-,-,-,-,-
电动座椅记忆功能,,,,,,,,
电动吸合车门,-,-,-,-,-,-,-,-
电动后备厢位置记忆,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-
电动可调踏板,●,●,●,●,●,●,●,●
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
灯光特色功能,-,-,-,-,-,-,-,-
温度分区控制,●,●,●,●,●,●,●,●
液晶仪表尺寸,,,,,,,,
油箱容积(L),136,136,136,136,136,136,136,136
气缸数(个),6,6,6,6,6,6,6,6
气缸排列形式,V,V,V,V,V,V,V,V
每缸气门数(个),4,4,4,4,4,4,4,4
最高车速(km/h),170,170,170,170,170,170,170,170
最大马力(Ps),381,381,381,381,381,381,381,381
最大满载质量(kg),3221,3221,3221,3221,3221,3221,3221,3221
最大扭矩转速(rpm),3000,3000,3000,3000,3000,3000,3000,3000
最大扭矩(N·m)_y,672,672,672,672,672,672,672,672
最大扭矩(N·m)_x,672,672,672,672,672,672,672,672
最大功率转速(rpm),5500,5500,5500,5500,5500,5500,5500,5500
最大功率(kW)_y,280,280,280,280,280,280,280,280
最大功率(kW)_x,280,280,280,280,280,280,280,280
最大净功率(kW),280,280,280,280,280,280,280,280
无钥匙进入功能,,,,,,,,
无钥匙启动系统,-,-,-,-,-,-,-,-
方向盘记忆,●,●,●,●,●,●,●,●
方向盘材质,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-
方向盘加热,●,●,●,●,●,●,●,●
方向盘位置调节,,,,,,,,
整车质保,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里
整备质量(kg),2766,2766,2766,2766,2766,2766,2766,2766
整体主动转向系统,-,-,-,-,-,-,-,-
接近角(°),25.8,25.8,25.8,25.8,25.8,25.8,25.8,25.8
排量(mL),3497,3497,3497,3497,3497,3497,3497,3497
换挡形式,,,,,,,,
挡位个数,10,10,10,10,10,10,10,10
扬声器数量,,,,,,,,
扬声器品牌名称,,,,,,,,
手机无线充电功能,-,-,-,-,-,-,,
