Feature,1013698,1013699,1013700,1013701,1013702,1013703,1013704,1013705,1013706,1013707,1013708,1013709,1013710,1013711,1013712,1013713,1013714,1013715,1013716,1013717,1013718,1013719,1013720,1013721,1013722,1013723,1013724,1013725,1013726,1013727,1013728,1013729,1014022,1014023
高度(mm),1815,1815,1840,1840,1815,1815,1815,1815,1815,1815,1840,1815,1815,1840,1815,1815,1815,1815,1840,1840,1815,1815,1815,1815,1815,1815,1840,1840,1815,1815,1815,1815,1840,1840
驾驶辅助影像,-,-,-,,,,,,-,-,-,,,,,,-,-,-,,,,,,-,-,-,,,,,,,
驱动方式,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置后驱
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长度(mm),5635,5365,5635,5635,5635,5365,5635,5365,5635,5365,5635,5635,5365,5635,5635,5365,5635,5365,5635,5635,5635,5365,5635,5365,5635,5365,5635,5635,5635,5365,5635,5365,5635,5635
长*宽*高(mm),5635×1880×1815,5365×1880×1815,5635×1880×1840,5635×1880×1840,5635×1880×1815,5365×1880×1815,5635×1880×1815,5365×1880×1815,5635×1880×1815,5365×1880×1815,5635×1880×1840,5635×1880×1815,5365×1880×1815,5635×1880×1840,5635×1880×1815,5365×1880×1815,5635×1880×1815,5365×1880×1815,5635×1880×1840,5635×1880×1840,5635×1880×1815,5365×1880×1815,5635×1880×1815,5365×1880×1815,5635×1880×1815,5365×1880×1815,5635×1880×1840,5635×1880×1840,5635×1880×1815,5365×1880×1815,5635×1880×1815,5365×1880×1815,5635×1880×1840,5635×1880×1840
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),3410,3140,3410,3410,3410,3140,3410,3140,3410,3140,3410,3410,3140,3410,3410,3140,3410,3140,3410,3410,3410,3140,3410,3140,3410,3140,3410,3410,3410,3140,3410,3140,3410,3410
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
转向辅助灯,-,-,-,-,-,-,●,●,-,-,-,-,-,-,●,●,-,-,-,-,-,-,●,●,-,-,-,-,-,-,●,●,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身结构_x,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,●,●,-,-,-,-,-,-,●,●,-,-,-,-,-,-,●,●,-,-,-,-,-,-,●,●,●,●
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
