Feature,56069,56588,56744
高度(mm),1545,1545,1545
驾驶辅助影像,,,
驾驶模式切换,,,
驻车制动类型,手刹,手刹,手刹
驱动电机数,单电机,单电机,单电机
驱动方式,前置前驱,前置前驱,前置前驱
面部识别,-,-,-
隐藏电动门把手,○,○,○
陡坡缓降,-,-,-
限滑差速器/差速锁,-,-,-
长度(mm),3270,3270,3270
长*宽*高(mm),3270*1700*1545,3270*1700*1545,3270*1700*1545
钥匙类型,,,
道路救援呼叫,-,-,-
道路交通标识识别,-,-,-
远程启动功能,-,-,-
远光灯光源,,,
近光灯光源,,,
运动风格座椅,-,-,-
运动外观套件,-,-,-
轴距(mm),1980,1980,1980
轮圈材质,,,
转向辅助灯,-,-,-
转向头灯,-,-,-
车顶行李架,-,-,-
车门数(个),3,3,3
车门开启方式,平开门,平开门,平开门
车道偏离预警系统,-,-,-
车道保持辅助系统,-,-,-
车载空气净化器,-,-,-
车载冰箱,-,-,-
车载CD/DVD,-,-,-
车身结构_y,两厢车,两厢车,两厢车
车身结构_x,3门4座两厢车,3门4座两厢车,3门4座两厢车
车身稳定控制(ESC/ESP/DSC等),-,-,-
车联网,-,-,-
车窗防夹手功能,-,-,-
车窗一键升降功能,-,-,-
车型名称,长安Lumin 2022款 210km 香甜款,长安Lumin 2022款 155km 清甜款,长安Lumin 2022款 301km 蜜甜款
车前雾灯,-,-,-
车内香氛装置,-,-,-
车内环境氛围灯,-,-,-
车内化妆镜,,,
车内中控锁,●,●,●
车内PM2.5过滤装置,-,-,-
车体结构,承载式,承载式,承载式
超声波雷达数量,,,
负离子发生器,-,-,-
语音识别控制系统,-,-,-
触摸式阅读灯,-,-,-
被动行人保护,-,-,-
行车电脑显示屏幕,,,
行李厢12V电源接口,-,-,-
蓝牙/车载电话,●,●,●
自适应远近光,-,-,-
自动驻车,-,-,-
自动泊车入位,-,-,-
自动头灯,-,-,-
膝部气囊,-,-,-
能源类型,纯电动,纯电动,纯电动
胎压监测功能,,,
缺气保用轮胎,-,-,-
级别,微型车,微型车,微型车
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排独立座椅,-,-,-
第二排座椅调节,-,-,-
第二排座椅电动调节,-,-,-
第二排座椅功能,-,-,-
空载最小离地间隙(mm),150,150,150
空调温度控制方式,,,
空气悬架,-,-,-
离去角(°),28,28,28
百公里耗电量(kWh/100km),9.7,9.3,10.7
疲劳驾驶提示,-,-,-
电芯品牌,宁德时代/中创新航/国轩高科,宁德时代,宁德时代
电能当量燃料消耗量(L/100km),1.1,1.05,1.21
电磁感应悬架,-,-,-
电池预加热,●,●,●
电池能量密度(Wh/kg),125,115,140
电池能量(kWh),17.65,12.92,27.99
电池组质保,八年或12万公里,八年或12万公里,八年或12万公里
电池类型,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池
电机类型,永磁/同步,永磁/同步,永磁/同步
电机布局,前置,前置,前置
电动机总扭矩(N·m),-,-,-
电动机总功率(kW),30,30,35
电动机总功率(Ps),41,41,48
电动机(Ps),41,41,48
电动扰流板,-,-,-
电动座椅记忆功能,-,-,-
电动吸合车门,-,-,-
电动后备厢位置记忆,-,-,-
电动后备厢,-,-,-
牵引力控制(ASR/TCS/TRC等),-,-,-
灯光特色功能,-,-,-
温度分区控制,-,-,-
液晶仪表尺寸,,,
油箱容积(L),-,-,-
最高车速(km/h),101,101,101
最大满载质量(kg),1140,1140,1245
最大扭矩(N·m),-,-,-
最大功率(kW),30,30,35
无钥匙进入功能,,,
无钥匙启动系统,○,○,○
方向盘记忆,-,-,-
方向盘材质,,,
方向盘换挡,-,-,-
方向盘加热,-,-,-
方向盘位置调节,-,-,-
整车质保,三年或12万公里,三年或12万公里,三年或12万公里
整备质量(kg),840,805,922
整体主动转向系统,-,-,-
摄像头数量,,,
接近角(°),21,21,21
换挡形式,,,
挡位个数,1,1,1
扬声器数量,,,
扬声器品牌名称,-,-,-
手机无线充电功能,-,-,-
手机互联/映射,,,
手机APP远程控制,,,
手势控制,-,-,-
慢充时间(小时)_y,9.8,7.5,9.5
慢充时间(小时)_x,9.8,7.5,9.5
感应雨刷功能,-,-,-
感应后备厢,-,-,-
快充电量百分比,-,-,-
快充电量(%),-,-,-
快充时间(小时)_y,-,-,-
快充时间(小时)_x,-,-,-
座椅材质,,,
座位数(个),4,4,4
并线辅助,-,-,-
巡航系统,-,-,-
导航路况信息显示,-,-,-
宽度(mm),1700,1700,1700
官方0-50km/h加速(s),6.5,6.5,5.9
官方0-100km/h加速(s),-,-,-
安全带未系提醒,,,
天窗类型,-,-,-
大灯高度可调,●,●,●
大灯清洗装置,-,-,-
大灯延时关闭,●,●,●
多层隔音玻璃,-,-,-
多媒体/充电接口,,,
多功能方向盘,●,●,●
外后视镜功能,,,
备胎规格,无,无,无
后风挡遮阳帘,-,-,-
后雨刷,-,-,-
后轮距(mm),1476,1476,1476
后轮胎规格,165/70 R14 ,165/70 R14 ,165/70 R14 
后排独立空调,-,-,-
后排液晶屏幕,-,-,-
后排杯架,-,-,-
后排控制多媒体,-,-,-
后排座椅电动放倒,-,-,-
后排座椅放倒形式,,,
后排小桌板,-,-,-
后排侧隐私玻璃,-,-,-
后排侧窗遮阳帘,-,-,-
后悬架类型,拖曳臂式非独立悬架,拖曳臂式非独立悬架,拖曳臂式非独立悬架
后座出风口,-,-,-
后备厢容积(L),104,104,104
后制动器类型,鼓式,鼓式,鼓式
可变转向比,-,-,-
可变悬架功能,-,-,-
可加热喷水嘴,-,-,-
变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
厂商指导价(元),5.39万,4.89万,6.39万
