Feature,34821,34822,34823,36920,36921
高度(mm),1395,1395,1395,1395,1395
驻车制动类型,脚刹,脚刹,脚刹,脚刹,脚刹
驱动方式,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱
零胎压继续行驶,-,-,-,-,-
陡坡缓降,-,-,-,-,-
防紫外线玻璃,●,●,●,●,●
长度(mm),4695,4695,4695,4705,4705
长*宽*高(mm),4695*1840*1395,4695*1840*1395,4695*1840*1395,4705*1840*1395,4705*1840*1395
铝合金轮圈,●,●,●,●,●
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC
遮阳板化妆镜,●,●,●,●,●
遥控钥匙,●,●,●,●,●
道路救援呼叫,-,-,●,-,-
远程启动,-,-,-,-,-
远光灯,LED,LED,LED,LED,LED
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯,LED,LED,LED,LED,LED
运动风格座椅,-,●,●,-,●
运动外观套件,-,●,●,-,●
轴距(mm),2730,2730,2730,2730,2730
转向辅助灯,-,-,-,-,-
转向头灯,-,-,-,-,-
车顶行李架,-,-,-,-,-
车门数(个),2,2,2,2,2
车道偏离预警系统,-,-,●,-,-
车载空气净化器,-,-,-,-,-
车载电视,-,-,-,-,-
车载冰箱,-,-,-,-,-
车身结构_y,硬顶跑车,硬顶跑车,硬顶跑车,硬顶跑车,硬顶跑车
车身结构_x,2门4座硬顶跑车,2门4座硬顶跑车,2门4座硬顶跑车,2门4座硬顶跑车,2门4座硬顶跑车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●
车联网,-,-,-,-,-
车窗防夹手功能,●,●,●,●,●
车窗一键升降,全车,全车,全车,全车,全车
车型名称,雷克萨斯RC 2018款 RC 300 锋尚版,雷克萨斯RC 2018款 RC 300 F SPORT版,雷克萨斯RC 2018款 RC 300 F SPORT极致版,雷克萨斯RC 2019款 RC 300 锋尚版,雷克萨斯RC 2019款 RC 300 F SPORT版
车内空气调节/花粉过滤,●,●,●,●,●
车内氛围灯,●,●,●,●,●
车内中控锁,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式
行车电脑显示屏,●,●,●,●,●
行程(mm),86,86,86,86,86
行李厢容积(L),374,374,374,374,374
蓝牙/车载电话,●,●,●,●,●
自适应远近光,-,-,●,-,-
自适应巡航,-,-,●,-,-
自动驻车,-,-,-,-,-
自动泊车入位,-,-,-,-,-
自动头灯,●,●,●,●,●
膝部气囊,●,●,●,●,●
腰部支撑调节,●,●,●,●,●
能源类型,汽油,汽油,汽油,汽油,汽油
胎压监测装置,●,●,●,●,●
肩部支撑调节,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),86,86,86,86,86
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金
级别,跑车,跑车,跑车,跑车,跑车
简称,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
第二排靠背角度调节,-,-,-,-,-
第二排独立座椅,-,-,-,-,-
第二排座椅移动,-,-,-,-,-
第三排座椅,-,-,-,-,-
空调控制方式,自动●,自动●,自动●,自动●,自动●
空气悬架,-,-,-,-,-
皮质方向盘,●,●,●,●,●
疲劳驾驶提示,-,-,-,-,-
电磁感应悬架,-,-,-,-,-
电动座椅记忆,-,●,●,-,●
电动天窗,●,●,●,●,●
电动吸合门,-,-,-,-,-
电动后备厢,-,-,-,-,-
环保标准,国V,国V,国V,国V,国V
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●
燃油标号,95号,95号,95号,95号,95号
燃料形式,汽油,汽油,汽油,汽油,汽油
温度分区控制,●,●,●,●,●
流媒体车内后视镜,-,-,-,-,-
油箱容积(L),66,66,66,66,66
气缸数(个),4,4,4,4,4
气缸排列形式,L,L,L,L,L
每缸气门数(个),4,4,4,4,4
最高车速(km/h),230,230,230,230,230
最小离地间隙(mm),-,-,-,-,-
最大马力(Ps),245,245,245,245,245
最大扭矩转速(rpm),1650-4400,1650-4400,1650-4400,1650-4400,1650-4400
最大扭矩(N·m)_y,350,350,350,350,350
最大扭矩(N·m)_x,350,350,350,350,350
最大功率转速(rpm),5800,5800,5800,5800,5800
最大功率(kW)_y,180,180,180,180,180
最大功率(kW)_x,180,180,180,180,180
无钥匙进入系统,●,●,●,●,●
无钥匙启动系统,●,●,●,●,●
方向盘调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节,上下+前后调节
方向盘记忆,-,●,●,-,●
方向盘电动调节,-,●,●,-,●
方向盘换挡,●,●,●,●,●
方向盘加热,-,-,-,-,-
整车质保,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里
整备质量(kg),1700,1700,1700,1700,1700
整体主动转向系统,-,-,-,-,-
排量(mL),1998,1998,1998,1998,1998
挡位个数,8,8,8,8,8
扬声器品牌,-,-,Mark Levinson马克莱文森,-,-
扬声器个数,10-11喇叭,10-11喇叭,≥12喇叭,10-11喇叭,10-11喇叭
手机无线充电,-,-,-,-,-
手机互联/映射功能,-,-,-,-,-
感应雨刷,-,-,●,-,-
感应后备厢,-,-,-,-,-
座椅高低调节,●,●,●,●,●
座椅材料,仿皮,真皮,真皮,仿皮,真皮
座位数(个),4,4,4,4,4
并线辅助,-,-,●,-,-
工信部综合油耗(L/100km),7.5,7.5,7.5,7.5,7.5
导航路况信息显示,-,-,-,-,-
宽度(mm),1840,1840,1840,1840,1840
实测油耗(L/100km),-,-,-,-,-
实测100-0km/h制动(m),-,-,-,-,-
实测0-100km/h加速(s),-,-,-,-,-
定速巡航,●,●,●,●,●
官方0-100km/h加速(s),7.5,7.5,7.5,7.5,7.5
安全带未系提示,●,●,●,●,●
大灯高度可调,●,●,●,●,●
大灯清洗装置,●,●,●,●,●
夜视系统,-,-,-,-,-
多天窗,-,-,-,-,-
多功能方向盘,●,●,●,●,●
外接音源接口,USB+AUX,USB+AUX,USB+AUX,USB+AUX,USB+AUX
备胎规格,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸
后风挡遮阳帘,-,-,-,-,-
后雨刷,-,-,-,-,-
后轮距(mm),1600,1600,1600,1600,1600
后轮胎规格,235/45 R18,235/45 R18,235/45 R18,235/45 R18,235/45 R18
后视镜记忆,-,●,●,-,●
后视镜电动调节,●,●,●,●,●
后视镜电动折叠,●,●,●,●,●
后视镜加热,●,●,●,●,●
后桥限滑差速器/差速锁,-,限滑差速器,限滑差速器,-,限滑差速器
后排独立空调,-,-,-,-,-
后排液晶屏,-,-,-,-,-
后排杯架,-,-,-,-,-
后排座椅电动调节,-,-,-,-,-
后排座椅放倒方式,比例放倒,比例放倒,比例放倒,比例放倒,比例放倒
后排侧隐私玻璃,-,-,-,-,-
后排侧遮阳帘,-,-,-,-,-
后悬架类型,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架
