Feature,34540,35086,35289
高度(mm),1673,1650,1673
驻车制动类型,电子驻车,电子驻车,电子驻车
驱动电机数,单电机,单电机,单电机
驱动方式,前置前驱,前置前驱,前置前驱
零胎压继续行驶,-,-,-
陡坡缓降,-,-,-
防紫外线玻璃,-,-,-
长度(mm),4512,4512,4512
长*宽*高(mm),4512*1857*1673,4512*1857*1650,4512*1857*1673
铝合金轮圈,●,●,●
配气机构,DOHC,DOHC,DOHC
遮阳板化妆镜,●,●,●
遥控钥匙,●,●,●
道路救援呼叫,●,●,●
远程启动,●,●,●
远光灯,LED,卤素,LED
进气形式,涡轮增压,涡轮增压,涡轮增压
近光灯,LED,卤素,LED
运动风格座椅,-,-,-
运动外观套件,-,-,-
轴距(mm),2734,2734,2734
转向辅助灯,●,●,●
转向头灯,●,-,●
车顶行李架,●,-,●
车门数(个),5,5,5
车道偏离预警系统,●,-,-
车载空气净化器,-,-,-
车载电视,-,-,-
车载冰箱,-,-,-
车身结构_y,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●
车联网,●,●,●
车窗防夹手功能,●,●,●
车窗一键升降,全车,全车,全车
车型名称,领克01新能源 2018款 1.5T PHEV 劲Pro,领克01新能源 2018款 1.5T PHEV 劲Lite,领克01新能源 2018款 1.5T PHEV 劲
车内空气调节/花粉过滤,●,●,●
车内氛围灯,●,-,●
车内中控锁,●,●,●
车体结构,承载式,承载式,承载式
行车电脑显示屏,●,●,●
行程(mm),-,-,-
行李厢容积(L),-,-,-
蓝牙/车载电话,●,●,●
自适应远近光,●,-,-
自适应巡航,●,-,●
自动驻车,●,●,●
自动泊车入位,●,-,●
自动头灯,●,-,●
膝部气囊,-,-,-
腰部支撑调节,●,-,-
能源类型,插电式混合动力,插电式混合动力,插电式混合动力
胎压监测装置,●,-,●
肩部支撑调节,-,-,-
缸盖材料,铝合金,铝合金,铝合金
缸径(mm),-,-,-
缸体材料,铝合金,铝合金,铝合金
级别,紧凑型SUV,紧凑型SUV,紧凑型SUV
系统综合扭矩(N·m),-,-,-
系统综合功率(kW),-,-,-
简称,7挡双离合,7挡双离合,7挡双离合
第二排靠背角度调节,-,-,-
第二排独立座椅,-,-,-
第二排座椅移动,-,-,-
第三排座椅,-,-,-
空调控制方式,自动●,自动●,自动●
空气悬架,-,-,-
皮质方向盘,●,-,●
百公里耗电量(kWh/100km),-,-,-
疲劳驾驶提示,●,-,-
电磁感应悬架,-,-,-
电池组质保,待查,待查,待查
电池类型,-,-,-
电池容量(kWh),9.4,9.4,9.4
电机类型,-,-,-
电机布局,前置,前置,前置
电动机总扭矩(N·m),160,160,160
电动机总功率(kW),60,60,60
电动座椅记忆,●,-,-
电动天窗,●,-,●
电动吸合门,-,-,-
电动后备厢,●,-,-
环保标准,国V,国V,国V
牵引力控制(ASR/TCS/TRC等),●,●,●
燃油标号,95号,95号,95号
燃料形式,插电式混合动力,插电式混合动力,插电式混合动力
温度分区控制,●,●,●
流媒体车内后视镜,-,-,-
油箱容积(L),-,-,-
气缸数(个),3,3,3
气缸排列形式,L,L,L
每缸气门数(个),4,4,4
最高车速(km/h),-,-,-
最小离地间隙(mm),211,211,211
最大马力(Ps),180,180,180
最大扭矩转速(rpm),1500-4000,1500-4000,1500-4000
最大扭矩(N·m)_y,265,265,265
最大扭矩(N·m)_x,-,-,-
最大功率转速(rpm),5500,5500,5500
最大功率(kW)_y,132,132,132
最大功率(kW)_x,-,-,-
无钥匙进入系统,●,●,●
无钥匙启动系统,●,●,●
方向盘调节,上下+前后调节,上下+前后调节,上下+前后调节
方向盘记忆,-,-,-
方向盘电动调节,-,-,-
方向盘换挡,●,-,●
方向盘加热,-,-,-
整车质保,不限年限/不限里程,不限年限/不限里程,不限年限/不限里程
整备质量(kg),1769,1735,1769
整体主动转向系统,-,-,-
排量(mL),1477,1477,1477
挡位个数,7,7,7
扬声器品牌,Infinity燕飞利仕,-,-
扬声器个数,10-11喇叭,8-9喇叭,8-9喇叭
手机无线充电,●,-,-
手机互联/映射功能,●,●,●
慢充时间(小时)_y,-,-,-
慢充时间(小时)_x,-,-,-
感应雨刷,●,-,●
感应后备厢,●,-,-
快充电量百分比,-,-,-
快充电量(%),-,-,-
快充时间(小时)_y,-,-,-
快充时间(小时)_x,-,-,-
座椅高低调节,●,●,●
座椅材料,真皮,皮/织物混搭,真皮
座位数(个),5,5,5
并线辅助,●,-,-
工信部综合油耗(L/100km),1.7,1.7,1.7
工信部续航里程(km),51,51,51
工信部纯电续驶里程(km),51,51,51
导航路况信息显示,●,●,●
宽度(mm),1857,1857,1857
实测续航里程(km),-,-,-
实测油耗(L/100km),-,-,-
实测慢充时间(小时),-,-,-
实测快充时间(小时),-,-,-
实测100-0km/h制动(m),-,-,-
实测0-100km/h加速(s),-,-,-
定速巡航,●,-,●
官方0-100km/h加速(s),-,-,-
安全带未系提示,●,●,●
大灯高度可调,●,●,●
大灯清洗装置,-,-,-
夜视系统,-,-,-
多天窗,-,-,-
多功能方向盘,●,●,●
外接音源接口,USB,USB,USB
备胎规格,未知,未知,未知
后风挡遮阳帘,-,-,-
后雨刷,●,●,●
后轮距(mm),-,-,-
后轮胎规格,235/50 R19,235/60 R17,235/55 R18
后视镜记忆,●,-,-
后视镜电动调节,●,●,●
后视镜电动折叠,●,-,●
后视镜加热,●,-,●
后电动机最大扭矩(N·m),-,-,-
后电动机最大功率(kW),-,-,-
后桥限滑差速器/差速锁,-,-,-
后排独立空调,-,-,-
后排液晶屏,-,-,-
后排杯架,●,●,●
后排座椅电动调节,-,-,-
后排座椅放倒方式,比例放倒,比例放倒,比例放倒
后排侧隐私玻璃,●,-,-
后排侧遮阳帘,-,-,-
后悬架类型,多连杆独立悬架,多连杆独立悬架,多连杆独立悬架
后座出风口,●,●,●
后制动器类型,盘式,盘式,盘式
可变转向比,-,-,-
可变悬架,-,-,-
可加热/制冷杯架,-,-,-
变速箱类型,双离合变速箱(DCT),双离合变速箱(DCT),双离合变速箱(DCT)
变速箱,7挡双离合,7挡双离合,7挡双离合
发动机电子防盗,●,●,●
发动机特有技术,-,-,-
发动机型号,-,-,-
发动机启停技术,-,-,-
发动机,1.5T 180马力 L3,1.5T 180马力 L3,1.5T 180马力 L3
压缩比,-,-,-
厂商指导价(元),26.28万,23.28万,24.28万
厂商,领克,领克,领克
助力类型,电动助力,电动助力,电动助力
副驾驶位后排可调节按钮,-,-,-
前雾灯,●,●,●
前轮距(mm),-,-,-
前轮胎规格,235/50 R19,235/60 R17,235/55 R18
前电动机最大扭矩(N·m),160,160,160
前电动机最大功率(kW),60,60,60
前桥限滑差速器/差速锁,-,-,-
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
前大灯雨雾模式,-,-,-
前制动器类型,通风盘式,通风盘式,通风盘式
前/后驻车雷达,前●&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
