Feature,52076,52077,52080,52081,52147,52148,52832,53509,57574,57575,57582,59187,59695,59699,59700,59705,59706,60211,60212,60223,60224,62941
高度(mm),1461,1472,1472,1461,1472,1472,1461,1461,1448,1460,1460,1448,1460,1460,1460,1448,1448,1460,1460,1461,1461,1460
驾驶辅助影像,,,,,,,,,,,,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,,,,,,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动电机数,-,-,-,-,-,-,-,-,-,-,单电机,-,单电机,-,-,-,-,-,-,-,-,-
驱动方式,前置四驱,前置前驱,前置前驱,前置四驱,前置前驱,前置前驱,前置四驱,前置四驱,前置四驱,前置前驱,前置前驱,前置四驱,前置前驱,前置前驱,前置前驱,前置四驱,前置四驱,前置前驱,前置前驱,前置四驱,前置四驱,前置前驱
首任车主质保政策,不限年限/不限里程,不限年限/不限里程,不限年限/不限里程,不限年限/不限里程,不限年限/不限里程,不限年限/不限里程,不限年限/不限里程,不限年限/不限里程,不限年限/不限里程,不限年限/不限里程,不限年限/不限里程,不限年限/不限里程,不限年限/不限里程,不限年限/不限里程,不限年限/不限里程,不限年限/不限里程,不限年限/不限里程,不限年限/不限里程,不限年限/不限里程,不限年限/不限里程,不限年限/不限里程,不限年限/不限里程（责任免除条款以官方为准）
面部识别,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
隐藏电动门把手,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4692,4657,4657,4677,4657,4657,4692,4677,4697,4684,4684,4697,4684,4684,4684,4684,4684,4684,4684,4677,4677,4684
长*宽*高(mm),4692*1840*1461,4657*1840*1472,4657*1840*1472,4677*1840*1461,4657*1840*1472,4657*1840*1472,4692*1840*1461,4677*1840*1461,4697*1843*1448,4684*1843*1460,4684*1843*1460,4697*1843*1448,4684*1843*1460,4684*1843*1460,4684*1843*1460,4684*1843*1448,4684*1843*1448,4684*1843*1460,4684*1843*1460,4677*1840*1461,4677*1840*1461,4684*1843*1460
钥匙类型,,,,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
道路交通标识识别,●,●,-,●,-,●,●,●,●,●,●,●,-,-,●,●,●,-,●,●,●,●
透明底盘/540度影像,●,●,○,●,○,●,●,●,●,●,●,●,●,○,●,●,●,○,●,-,-,●
远程启动功能,,,,,,,,,,,,,,,,,,,,,,
远光灯光源,,,,,,,,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,,,,,,,,
运动风格座椅,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
运动外观套件,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
辅助驾驶等级,,,-,,-,,,,,,,,-,-,,,,-,,,,
轴距(mm),2730,2730,2730,2730,2730,2730,2730,2730,2730,2730,2730,2730,2730,2730,2730,2730,2730,2730,2730,2730,2730,2730
轮圈材质,,,,,,,,,,,,,,,,,,,,,,
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,●,●,-,●,-,●,●,●,●,●,●,●,-,-,●,●,●,-,●,●,●,●
车顶行李架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,-,-,-,-,-,-,-,-,●,●,●,●,-,-,●,●,●,-,●,-,-,●
车道偏离预警系统,●,●,-,●,-,●,●,●,●,●,●,●,-,-,●,●,●,-,●,●,●,●
车道保持辅助系统,●,●,-,●,-,●,●,●,●,●,●,●,-,-,●,●,●,-,●,●,●,●
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,,,,,,,,,,,
车机智能芯片,-,-,-,-,-,-,-,-,,,,,,,,,,,,-,-,
车型名称,领克03 2022款 03+ 2.0TD 自动性能套装,领克03 2022款 1.5TD DCT劲Pro,领克03 2022款 1.5TD DCT劲Plus,领克03 2022款 03+ 2.0TD 自动驭风版,领克03 2022款 2.0TD DCT劲Plus,领克03 2022款 2.0TD DCT劲Pro,领克03 2022款 03+ Cyan 定制版性能套装,领克03 2022款 03+ Cyan 定制版,2023款 03+ 2.0TD 自动性能套装,领克03 2023款 2.0TD DCT劲Halo,领克03 2023款 1.5T EM-F PM,2023款 03+ 2.0TD 自动Cyan定制版性能套装,领克03 2023款 1.5T EM-F AM,领克03 2023款 2.0TD DCT劲Plus,领克03 2023款 2.0TD DCT劲Pro,2023款 03+ 2.0TD 自动驭风版,2023款 03+ 2.0TD 自动Cyan定制版,领克03 2023款 1.5TD DCT劲Plus,领克03 2023款 1.5TD DCT劲Pro,2022款 03+ 2.0TD 自动Final Edition,2022款 03+ 2.0TD 自动Final Edition（驾控套件）,领克03 2023款 2.0TD DCT王者荣耀定制版
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内香氛装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,,,-,,-,,,,,,,,-,-,,,,-,,,,
车内化妆镜,,,,,,,,,,,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,,,,,,,,,,,,,,,,,,
负离子发生器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
语音识别控制系统,,,,,,,,,,,,,,,,,,,,,,
触摸式阅读灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
被动行人保护,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,,,,,,,,,,,,,,,,
行程(mm),93.2,93.2,93.2,93.2,93.2,93.2,93.2,93.2,93.2,93.2,-,93.2,-,93.2,93.2,93.2,93.2,-,-,93.2,93.2,93.2
行李厢12V电源接口,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,●,●,-,●,-,●,●,●,●,●,●,●,-,-,●,●,●,-,●,●,●,●
自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自动泊车入位,●,●,-,●,-,●,●,●,●,●,-,●,-,-,-,○,●,-,-,●,●,-
自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自动变道辅助,-,-,-,-,-,-,-,-,●,●,●,●,-,-,-,●,●,-,-,-,-,-
膝部气囊,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能量回收系统,-,-,-,-,-,-,-,-,-,-,●,-,●,-,-,-,-,-,-,-,-,-
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,油电混合,汽油,油电混合,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测功能,,,,,,,,,,,,,,,,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),82,82,82,82,82,82,82,82,82,82,-,82,-,82,82,82,82,-,-,82,82,82
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车
