Feature,52513,53464,53597,53598,53599,53600,56251
高度(mm),1628,1628,1628,1628,1628,1628,1628
驾驶辅助影像,,,,,,,
驾驶模式切换,,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置四驱,前置四驱,前置前驱,前置前驱,前置前驱,前置四驱,前置前驱
首任车主质保政策,不限年限/不限里程（责任免除条款以官方为准）,不限年限/不限里程（责任免除条款以官方为准）,不限年限/不限里程（责任免除条款以官方为准）,不限年限/不限里程（责任免除条款以官方为准）,不限年限/不限里程（责任免除条款以官方为准）,不限年限/不限里程（责任免除条款以官方为准）,不限年限/不限里程（责任免除条款以官方为准）
面部识别,-,-,-,-,-,-,-
隐藏电动门把手,-,-,-,-,-,-,-
陡坡缓降,●,●,-,-,-,●,-
限滑差速器/差速锁,-,-,-,-,-,-,-
长度(mm),4614,4614,4592,4592,4592,4592,4592
长*宽*高(mm),4614*1879*1628,4614*1879*1628,4592*1879*1628,4592*1879*1628,4592*1879*1628,4592*1879*1628,4592*1879*1628
钥匙类型,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●,●,●,●
道路交通标识识别,●,●,-,●,●,●,●
远程启动功能,,,,,,,
远光灯光源,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,
运动风格座椅,●,●,●,●,●,●,●
运动外观套件,●,-,-,-,-,-,-
辅助驾驶芯片,-,-,-,-,-,-,-
轴距(mm),2734,2734,2734,2734,2734,2734,2734
轮圈材质,,,,,,,
转向辅助灯,●,●,●,●,●,●,●
转向头灯,●,●,-,-,●,●,●
车顶行李架,-,-,-,-,-,-,-
车门数(个),5,5,5,5,5,5,5
车道偏离预警系统,●,●,-,●,●,●,●
车道保持辅助系统,●,●,-,●,●,●,●
车载空气净化器,-,-,-,-,-,-,-
车载电视,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-
车载CD/DVD,-,-,-,-,-,-,-
车身结构_y,SUV跨界车,SUV跨界车,SUV跨界车,SUV跨界车,SUV跨界车,SUV跨界车,SUV跨界车
车身结构_x,5门5座SUV跨界车,5门5座SUV跨界车,5门5座SUV跨界车,5门5座SUV跨界车,5门5座SUV跨界车,5门5座SUV跨界车,5门5座SUV跨界车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,
车型名称,领克05 2022款 05+ 2.0TD 自动性能套装,领克05 2022款 05+ 2.0TD 自动探索版,领克05 2022款 2.0TD 两驱耀,领克05 2022款 2.0TD 两驱耀Plus,领克05 2022款 2.0TD 两驱耀Halo,领克05 2022款 2.0TD 四驱劲Halo,领克05 2022款 2.0TD 两驱耀Halo 撞色轮毂版
车前雾灯,,,,,,,
车内香氛装置,-,-,-,-,-,-,-
车内环境氛围灯,,,-,,,,
车内化妆镜,,,,,,,
车内中控锁,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●
车侧脚踏板,-,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,-,-,-,-,-,-,-
负离子发生器,-,-,-,-,-,-,-
语音识别控制系统,,,,,,,
触摸式阅读灯,●,●,●,●,●,●,●
被动行人保护,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,
行程(mm),-,-,-,-,-,-,-
行李厢容积(L),-,-,-,-,-,-,-
行李厢12V电源接口,●,●,-,-,●,●,●
蓝牙/车载电话,●,●,●,●,●,●,●
芯片总算力,-,-,-,-,-,-,-
自适应远近光,●,●,-,●,●,●,●
自动驻车,●,●,●,●,●,●,●
自动泊车入位,●,●,-,-,●,●,●
自动头灯,●,●,-,●,●,●,●
膝部气囊,-,-,-,-,-,-,-
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测功能,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),-,-,-,-,-,-,-
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
简称,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体
第二排独立座椅,-,-,-,-,-,-,-
第二排座椅调节,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,
空气悬架,-,-,-,-,-,-,-
疲劳驾驶提示,●,●,-,●,●,●,●
电磁感应悬架,-,-,-,-,-,-,-
电池预加热,-,-,-,-,-,-,-
电动扰流板,-,-,-,-,-,-,-
电动座椅记忆功能,,,-,-,,,
电动吸合车门,-,-,-,-,-,-,-
电动后备厢位置记忆,●,●,●,●,●,●,●
电动后备厢,●,●,●,●,●,●,●
电动可调踏板,-,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●
燃油标号,95号,95号,95号,95号,95号,95号,95号
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,汽油
灯光特色功能,-,-,-,-,-,-,-
激光雷达数量,-,-,-,-,-,-,-
温度分区控制,●,●,●,●,●,●,●
液晶仪表尺寸,,,,,,,
涉水感应系统,-,-,-,-,-,-,-
油箱容积(L),-,-,-,-,-,-,-
气罐容积(L),-,-,-,-,-,-,-
气缸数(个),4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L
毫米波雷达数量,-,-,-,-,-,-,-
每缸气门数(个),4,4,4,4,4,4,4
最高车速(km/h),230,230,230,230,230,230,230
最小离地间隙(mm),213,213,213,213,213,213,213
最大马力(Ps),265,265,254,254,254,254,254
最大扭矩转速(rpm),2000-4000,2000-4000,1800-4800,1800-4800,1800-4800,1800-4800,1800-4800
最大扭矩(N·m)_y,380,380,350,350,350,350,350
最大扭矩(N·m)_x,380,380,350,350,350,350,350
最大功率转速(rpm),5500,5500,5500,5500,5500,5500,5500
最大功率(kW)_y,195,195,187,187,187,187,187
最大功率(kW)_x,195,195,187,187,187,187,187
最大净功率(kW),-,-,187,187,187,187,187
最低荷电状态油耗(L/100km),-,-,-,-,-,-,-
无钥匙进入功能,,,,,,,
无钥匙启动系统,●,●,●,●,●,●,●
无框设计车门,-,-,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-,-
方向盘材质,,,,,,,
方向盘换挡,●,●,-,-,-,●,-
方向盘加热,-,-,-,-,-,-,-
方向盘位置调节,,,,,,,
整车质保,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里
整备质量(kg),1798,1798,1738,1738,1738,1788,1738
整体主动转向系统,-,-,-,-,-,-,-
摄像头数量,-,-,-,-,-,-,-
排量(mL),-,-,1969,1969,1969,1969,1969
挡位个数,8,8,8,8,8,8,8
扬声器数量,,,,,,,
扬声器品牌名称,,,-,-,,,
手机无线充电功能,,,-,,,,
手机互联/映射,-,-,-,-,-,-,-
手势控制,-,-,-,-,-,-,-
感应雨刷功能,,,-,,,,
感应后备厢,●,●,-,-,●,●,●
座椅材质,,,,,,,
座椅布局,-,-,-,-,-,-,-
