Feature,1007112,1007113,1007114,1007115,1007116,1007117,1007118,1007119,1007120,1007121,1007122,1007123,1007124,1007125,1007126,1007127,1007128,1007129,1007130,1007131,1007132,1007133,1007134,1007135,1007136,1007137,1007138,1007139,1007140,1007141,1007142,1007143,1007144,1007145,1007146,1007147
高度(mm),1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730
驾驶辅助影像,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驱动方式,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,-,,-,-,,-,-,-,-,-,-,-,-,,-,-,,-,-,-,-,-,-,-,-,,-,-,,-,-,-,-,-,-,-
长度(mm),5250,5250,5250,5620,5620,5620,5250,5250,5250,5620,5620,5620,5250,5250,5250,5620,5620,5620,5250,5250,5250,5620,5620,5620,5250,5250,5250,5620,5620,5620,5250,5250,5250,5620,5620,5620
长*宽*高(mm),5250×1830×1730,5250×1830×1730,5250×1830×1730,5620×1830×1730,5620×1830×1730,5620×1830×1730,5250×1830×1730,5250×1830×1730,5250×1830×1730,5620×1830×1730,5620×1830×1730,5620×1830×1730,5250×1830×1730,5250×1830×1730,5250×1830×1730,5620×1830×1730,5620×1830×1730,5620×1830×1730,5250×1830×1730,5250×1830×1730,5250×1830×1730,5620×1830×1730,5620×1830×1730,5620×1830×1730,5250×1830×1730,5250×1830×1730,5250×1830×1730,5620×1830×1730,5620×1830×1730,5620×1830×1730,5250×1830×1730,5250×1830×1730,5250×1830×1730,5620×1830×1730,5620×1830×1730,5620×1830×1730
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
配气机构,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,自然吸气,涡轮增压,涡轮增压,自然吸气,涡轮增压,涡轮增压,自然吸气,涡轮增压,涡轮增压,自然吸气,涡轮增压,涡轮增压,自然吸气,涡轮增压,涡轮增压,自然吸气,涡轮增压,涡轮增压,自然吸气,涡轮增压,涡轮增压,自然吸气,涡轮增压,涡轮增压,自然吸气,涡轮增压,涡轮增压,自然吸气,涡轮增压,涡轮增压,自然吸气,涡轮增压,涡轮增压,自然吸气
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
轴距(mm),3025,3025,3025,3395,3395,3395,3025,3025,3025,3395,3395,3395,3025,3025,3025,3395,3395,3395,3025,3025,3025,3395,3395,3395,3025,3025,3025,3395,3395,3395,3025,3025,3025,3395,3395,3395
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
车身结构_y,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身结构_x,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,骐铃T7 2019款 2.0T 四驱超豪华版标准轴距4K21D4T,骐铃T7 2019款 2.8T 四驱超豪华版标准轴距JE493ZLQ5D,骐铃T7 2019款 2.2L 四驱超豪华版标准轴距V22,骐铃T7 2019款 2.0T 四驱超豪华版加长轴距4K21D4T,骐铃T7 2019款 2.8T 四驱超豪华版加长轴距JE493ZLQ5D,骐铃T7 2019款 2.2L 四驱超豪华版加长轴距V22,骐铃T7 2019款 2.0T 两驱超豪华版标准轴距4K21D4T,骐铃T7 2019款 2.8T 两驱超豪华版标准轴距JE493ZLQ5D,骐铃T7 2019款 2.2L 两驱超豪华版标准轴距V22,骐铃T7 2019款 2.0T 两驱超豪华版加长轴距4K21D4T,骐铃T7 2019款 2.8T 两驱超豪华版加长轴距JE493ZLQ5D,骐铃T7 2019款 2.2L 两驱超豪华版加长轴距V22,骐铃T7 2019款 2.0T 四驱豪华版标准轴距4K21D4T,骐铃T7 2019款 2.8T 四驱豪华版标准轴距JE493ZLQ5D,骐铃T7 2019款 2.2L 四驱豪华版标准轴距V22,骐铃T7 2019款 2.0T 四驱豪华版加长轴距4K21D4T,骐铃T7 2019款 2.8T 四驱豪华版加长轴距JE493ZLQ5D,骐铃T7 2019款 2.2L 四驱豪华版加长轴距V22,骐铃T7 2019款 2.0T 两驱豪华版标准轴距4K21D4T,骐铃T7 2019款 2.8T 两驱豪华版标准轴距JE493ZLQ5D,骐铃T7 2019款 2.2L 两驱豪华版标准轴距V22,骐铃T7 2019款 2.0T 两驱豪华版加长轴距4K21D4T,骐铃T7 2019款 2.8T 两驱豪华版加长轴距JE493ZLQ5D,骐铃T7 2019款 2.2L 两驱豪华版加长轴距V22,骐铃T7 2019款 2.0T 四驱精锐版标准轴距4K21D4T,骐铃T7 2019款 2.8T 四驱精锐版标准轴距JE493ZLQ5D,骐铃T7 2019款 2.2L 四驱精锐版标准轴距V22,骐铃T7 2019款 2.0T 四驱精锐版加长轴距4K21D4T,骐铃T7 2019款 2.8T 四驱精锐版加长轴距JE493ZLQ5D,骐铃T7 2019款 2.2L 四驱精锐版加长轴距V22,骐铃T7 2019款 2.0T 两驱精锐版标准轴距4K21D4T,骐铃T7 2019款 2.8T 两驱精锐版标准轴距JE493ZLQ5D,骐铃T7 2019款 2.2L 两驱精锐版标准轴距V22,骐铃T7 2019款 2.0T 两驱精锐版加长轴距4K21D4T,骐铃T7 2019款 2.8T 两驱精锐版加长轴距JE493ZLQ5D,骐铃T7 2019款 2.2L 两驱精锐版加长轴距V22
车前雾灯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
货箱尺寸(mm),1480x1470x470,1480x1470x470,1480x1470x470,1835x1470x470,1835x1470x470,1835x1470x470,1480x1470x470,1480x1470x470,1480x1470x470,1835x1470x470,1835x1470x470,1835x1470x470,1480x1470x470,1480x1470x470,1480x1470x470,1835x1470x470,1835x1470x470,1835x1470x470,1480x1470x470,1480x1470x470,1480x1470x470,1835x1470x470,1835x1470x470,1835x1470x470,1480x1470x470,1480x1470x470,1480x1470x470,1835x1470x470,1835x1470x470,1835x1470x470,1480x1470x470,1480x1470x470,1480x1470x470,1835x1470x470,1835x1470x470,1835x1470x470
行车电脑显示屏幕,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型,汽油,柴油,汽油,汽油,柴油,汽油,汽油,柴油,汽油,汽油,柴油,汽油,汽油,柴油,汽油,汽油,柴油,汽油,汽油,柴油,汽油,汽油,柴油,汽油,汽油,柴油,汽油,汽油,柴油,汽油,汽油,柴油,汽油,汽油,柴油,汽油
胎压监测功能,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
